Time,POSX,POSY,POSZ
1773948054.3601973,-1.4173,1.4629,0.0643
1773948054.3715146,-1.4173,1.4629,0.0643
1773948054.374716,-1.4173,1.4629,0.0643
1773948054.3809068,-1.4173,1.4629,0.0643
1773948054.3822181,-1.4173,1.4629,0.0643
1773948054.3887959,-1.4173,1.4629,0.0643
1773948054.3940933,-1.4173,1.4629,0.0643
1773948054.3982341,-1.4173,1.4629,0.0643
1773948054.4036531,-1.4173,1.4629,0.0643
1773948054.4094374,-1.4173,1.4629,0.0643
1773948054.4181848,-1.4173,1.4629,0.0643
1773948054.422026,-1.4173,1.4629,0.0643
1773948054.426351,-1.4173,1.4629,0.0643
1773948054.431929,-1.4173,1.4629,0.0643
1773948054.4378316,-1.4173,1.4629,0.0643
1773948054.4993846,-1.4173,1.4629,0.0643
1773948054.5066204,-1.4173,1.4629,0.0643
1773948054.51219,-1.4173,1.4629,0.0643
1773948054.5192869,-1.4173,1.4629,0.0643
1773948054.522225,-1.4173,1.4629,0.0643
1773948054.5350392,-1.4173,1.4629,0.0643
1773948054.552807,-1.4173,1.4629,0.0643
1773948054.5574422,-1.4173,1.4629,0.0643
1773948054.561835,-1.4173,1.4629,0.0643
1773948054.5676513,-1.4173,1.4629,0.0643
1773948054.5737143,-1.4173,1.4629,0.0643
1773948054.5778906,-1.4173,1.4629,0.0643
1773948054.5820224,-1.4173,1.4629,0.0643
1773948054.586627,-1.4173,1.4629,0.0643
1773948054.5912256,-1.4173,1.4629,0.0643
1773948054.595125,-1.4173,1.4629,0.0643
1773948054.6537118,-1.4173,1.4629,0.0643
1773948054.6623552,-1.4173,1.4629,0.0643
1773948054.6703851,-1.4173,1.4629,0.0643
1773948054.6744642,-1.4173,1.4629,0.0643
1773948054.6779728,-1.4173,1.4629,0.0643
1773948054.6817005,-1.4173,1.4629,0.0643
1773948054.687908,-1.4173,1.4629,0.0643
1773948054.691654,-1.4173,1.4629,0.0643
1773948054.6953628,-1.4173,1.4629,0.0643
1773948054.7123575,-1.4173,1.4629,0.0643
1773948054.7252634,-1.4173,1.4629,0.0643
1773948054.730824,-1.4173,1.4629,0.0643
1773948054.7360444,-1.4173,1.4629,0.0643
1773948054.7402008,-1.4173,1.4629,0.0643
1773948054.7442944,-1.4173,1.4629,0.0643
1773948054.7486074,-1.4173,1.4629,0.0643
1773948054.762725,-1.4173,1.4629,0.0643
1773948054.8219132,-1.4173,1.4628,0.0643
1773948054.8260212,-1.4173,1.4629,0.0643
1773948054.8305073,-1.4173,1.4629,0.0643
1773948054.83686,-1.4173,1.4629,0.0643
1773948054.8406072,-1.4173,1.4629,0.0643
1773948054.844134,-1.4173,1.4629,0.0643
1773948054.8524096,-1.4173,1.4629,0.0643
1773948054.8562844,-1.4173,1.4629,0.0643
1773948054.859595,-1.4173,1.4629,0.0643
1773948054.8650575,-1.4173,1.4629,0.0643
1773948054.8708653,-1.4173,1.4629,0.0643
1773948054.8750107,-1.4173,1.4629,0.0643
1773948054.893052,-1.4173,1.4629,0.0643
1773948054.8995655,-1.4173,1.4629,0.0643
1773948054.903975,-1.4173,1.4629,0.0643
1773948054.9084089,-1.4173,1.4629,0.0643
1773948054.9685779,-1.4173,1.4629,0.0643
1773948054.977524,-1.4173,1.4629,0.0643
1773948054.9813294,-1.4173,1.4629,0.0643
1773948054.990819,-1.4173,1.4629,0.0643
1773948054.9950798,-1.4173,1.4629,0.0643
1773948054.9992955,-1.4173,1.4629,0.0643
1773948055.004448,-1.4173,1.4629,0.0643
1773948055.0077353,-1.4173,1.4629,0.0643
1773948055.0127966,-1.4173,1.4629,0.0643
1773948055.0192142,-1.4173,1.4629,0.0643
1773948055.024278,-1.4173,1.4629,0.0643
1773948055.0289042,-1.4173,1.4629,0.0643
1773948055.0352592,-1.4173,1.4629,0.0643
1773948055.040725,-1.4173,1.4629,0.0643
1773948055.044395,-1.4173,1.4629,0.0643
1773948055.047709,-1.4173,1.4629,0.0643
1773948055.060947,-1.4173,1.4629,0.0643
1773948055.130621,-1.4173,1.4629,0.0643
1773948055.137157,-1.4173,1.4629,0.0643
1773948055.1426146,-1.4173,1.4629,0.0643
1773948055.1474547,-1.4173,1.4629,0.0643
1773948055.1504297,-1.4173,1.4629,0.0643
1773948055.1554093,-1.4173,1.4629,0.0643
1773948055.1580074,-1.4173,1.4629,0.0643
1773948055.1611264,-1.4173,1.4629,0.0643
1773948055.1640449,-1.4173,1.4629,0.0643
1773948055.1696742,-1.4173,1.4629,0.0643
1773948055.172551,-1.4173,1.4629,0.0643
1773948055.1753983,-1.4173,1.4629,0.0643
1773948055.178053,-1.4173,1.4629,0.0643
1773948055.1807287,-1.4173,1.4629,0.0643
1773948055.1832957,-1.4173,1.4629,0.0643
1773948055.1857784,-1.4173,1.4629,0.0643
1773948055.1881514,-1.4173,1.4629,0.0643
1773948055.1904898,-1.4173,1.4629,0.0643
1773948055.1953914,-1.4173,1.4629,0.0643
