Time,POSX,POSY,POSZ
1773948058.943073,5.23,2.28,1.95
1773948059.0421028,5.28,2.29,1.89
1773948059.1421957,nan,nan,nan
1773948059.2643304,nan,nan,nan
1773948059.3430955,nan,nan,nan
1773948059.442815,nan,nan,nan
1773948059.54127,nan,nan,nan
1773948059.647012,nan,nan,nan
1773948059.7424986,nan,nan,nan
1773948059.841838,nan,nan,nan
1773948059.944822,nan,nan,nan
1773948060.041916,nan,nan,nan
1773948060.1436603,nan,nan,nan
1773948060.2413528,nan,nan,nan
1773948060.347936,nan,nan,nan
1773948060.440581,nan,nan,nan
1773948060.5411534,nan,nan,nan
1773948060.6422896,nan,nan,nan
1773948060.7413166,nan,nan,nan
1773948060.8477354,nan,nan,nan
1773948060.9418623,nan,nan,nan
1773948061.042145,nan,nan,nan
1773948061.1423697,nan,nan,nan
1773948061.242066,nan,nan,nan
1773948061.3424013,nan,nan,nan
1773948061.4423947,nan,nan,nan
1773948061.5452254,nan,nan,nan
1773948061.6411378,nan,nan,nan
1773948061.740729,nan,nan,nan
1773948061.8407958,nan,nan,nan
1773948061.9537938,nan,nan,nan
1773948062.0410502,nan,nan,nan
1773948062.1631248,nan,nan,nan
1773948062.242045,nan,nan,nan
1773948062.340782,nan,nan,nan
1773948062.4405951,nan,nan,nan
1773948062.5418873,nan,nan,nan
1773948062.6425197,nan,nan,nan
1773948062.7406626,nan,nan,nan
1773948062.8440404,nan,nan,nan
1773948062.9406893,nan,nan,nan
1773948063.0428746,nan,nan,nan
1773948063.1425228,nan,nan,nan
1773948063.2419097,nan,nan,nan
1773948063.3418627,nan,nan,nan
1773948063.445921,nan,nan,nan
1773948063.741924,nan,nan,nan
1773948063.8448339,nan,nan,nan
1773948063.9431627,nan,nan,nan
1773948064.0422592,nan,nan,nan
1773948064.8423104,nan,nan,nan
1773948065.442385,nan,nan,nan
1773948067.2405324,nan,nan,nan
1773948067.5415447,nan,nan,nan
1773948067.7427936,nan,nan,nan
1773948067.8420177,nan,nan,nan
1773948067.9421299,nan,nan,nan
1773948068.0503788,nan,nan,nan
1773948068.14145,nan,nan,nan
1773948068.241766,nan,nan,nan
1773948068.3417726,nan,nan,nan
1773948068.4420853,nan,nan,nan
1773948068.5431936,nan,nan,nan
1773948068.6416838,nan,nan,nan
1773948068.7408462,nan,nan,nan
1773948068.8416536,nan,nan,nan
1773948068.9423451,nan,nan,nan
1773948069.0410147,nan,nan,nan
1773948069.141813,nan,nan,nan
1773948069.240904,nan,nan,nan
1773948069.3469954,nan,nan,nan
1773948069.4421942,nan,nan,nan
1773948069.5422788,nan,nan,nan
1773948069.6414235,nan,nan,nan
1773948069.7419972,nan,nan,nan
1773948069.841072,nan,nan,nan
1773948069.9425006,nan,nan,nan
1773948070.041894,nan,nan,nan
1773948070.1468058,nan,nan,nan
1773948070.2424798,nan,nan,nan
1773948070.342053,nan,nan,nan
1773948070.4409974,nan,nan,nan
1773948070.5410964,nan,nan,nan
1773948070.6416476,nan,nan,nan
1773948070.7407455,nan,nan,nan
1773948070.8410883,nan,nan,nan
1773948070.9562473,nan,nan,nan
1773948071.0418878,nan,nan,nan
1773948071.141736,nan,nan,nan
1773948071.241965,nan,nan,nan
1773948071.3410645,nan,nan,nan
1773948071.4569037,nan,nan,nan
1773948071.542795,nan,nan,nan
1773948071.6418045,nan,nan,nan
1773948071.7409472,nan,nan,nan
1773948071.8423655,nan,nan,nan
1773948071.944202,nan,nan,nan
1773948072.0416594,nan,nan,nan
1773948072.1424637,nan,nan,nan
1773948072.6424074,nan,nan,nan
1773948072.8413796,nan,nan,nan
1773948073.0410235,nan,nan,nan
1773948073.1417985,nan,nan,nan
1773948074.54945,nan,nan,nan
1773948074.769028,nan,nan,nan
1773948074.8415618,nan,nan,nan
1773948074.941488,nan,nan,nan
1773948075.0419056,nan,nan,nan
1773948075.1426039,nan,nan,nan
1773948075.2440128,nan,nan,nan
1773948075.3421555,nan,nan,nan
1773948075.4440093,nan,nan,nan
1773948075.5424907,nan,nan,nan
1773948075.6434052,nan,nan,nan
1773948075.741891,nan,nan,nan
1773948075.8490436,nan,nan,nan
1773948075.9410558,nan,nan,nan
1773948076.0571227,nan,nan,nan
1773948076.1419435,nan,nan,nan
1773948076.2598631,nan,nan,nan
1773948076.342013,nan,nan,nan
1773948076.4636173,nan,nan,nan
1773948076.5418127,nan,nan,nan
1773948076.6442215,nan,nan,nan
1773948076.7429552,nan,nan,nan
1773948076.8508406,nan,nan,nan
1773948077.0424178,nan,nan,nan
1773948077.1450427,nan,nan,nan
1773948077.2419033,nan,nan,nan
1773948077.3424141,nan,nan,nan
1773948077.4421108,nan,nan,nan
1773948077.5426705,nan,nan,nan
1773948077.6420555,nan,nan,nan
1773948077.7416937,nan,nan,nan
1773948077.8577096,nan,nan,nan
1773948077.9440987,nan,nan,nan
1773948078.0426614,nan,nan,nan
1773948078.1419306,nan,nan,nan
1773948078.2413428,nan,nan,nan
1773948078.3424287,nan,nan,nan
1773948078.4419475,nan,nan,nan
1773948078.541312,nan,nan,nan
1773948078.6420813,nan,nan,nan
1773948078.7427235,nan,nan,nan
1773948078.855115,nan,nan,nan
1773948078.942493,nan,nan,nan
1773948079.0437253,nan,nan,nan
1773948079.1416101,nan,nan,nan
1773948079.2416823,nan,nan,nan
1773948079.3450108,nan,nan,nan
1773948079.4421194,nan,nan,nan
1773948079.5417707,nan,nan,nan
1773948079.6417768,nan,nan,nan
1773948079.7420232,nan,nan,nan
1773948079.8409476,nan,nan,nan
1773948079.942036,nan,nan,nan
1773948080.042273,nan,nan,nan
