Time,POSX,POSY,POSZ
1773948058.943073,5.23,2.28,1.95
1773948059.0421028,5.28,2.29,1.89
1773948059.1421957,nan,nan,nan
1773948059.2643304,5.34,2.32,1.87
1773948059.3430955,5.41,2.33,1.86
1773948059.442815,5.47,2.35,2.19
1773948059.54127,nan,nan,nan
1773948059.647012,5.52,2.38,2.1
1773948059.7424986,5.56,2.45,2.35
1773948059.841838,5.6,2.51,2.32
1773948059.944822,5.64,2.59,2.55
1773948060.041916,5.67,2.67,2.69
1773948060.1436603,5.69,2.74,2.68
1773948060.2413528,nan,nan,nan
1773948060.347936,nan,nan,nan
1773948060.440581,nan,nan,nan
1773948060.5411534,nan,nan,nan
1773948060.6422896,5.71,2.89,2.45
1773948060.7413166,5.75,3.05,2.63
1773948060.8477354,5.83,3.1,2.69
1773948060.9418623,5.81,3.25,2.82
1773948061.042145,nan,nan,nan
1773948061.1423697,nan,nan,nan
1773948061.242066,5.76,3.45,2.85
1773948061.3424013,nan,nan,nan
1773948061.4423947,nan,nan,nan
1773948061.5452254,5.68,3.66,2.59
1773948061.6411378,nan,nan,nan
1773948061.740729,nan,nan,nan
1773948061.8407958,nan,nan,nan
1773948061.9537938,nan,nan,nan
1773948062.0410502,nan,nan,nan
1773948062.1631248,nan,nan,nan
1773948062.242045,nan,nan,nan
1773948062.340782,nan,nan,nan
1773948062.4405951,nan,nan,nan
1773948062.5418873,5.38,3.95,2.43
1773948062.6425197,nan,nan,nan
1773948062.7406626,nan,nan,nan
1773948062.8440404,nan,nan,nan
1773948062.9406893,nan,nan,nan
1773948063.0428746,nan,nan,nan
1773948063.1425228,nan,nan,nan
1773948063.2419097,4.98,4.34,2.37
1773948063.3418627,4.56,4.54,2.28
1773948063.445921,4.28,4.73,2.15
1773948063.741924,nan,nan,nan
1773948063.8448339,nan,nan,nan
1773948063.9431627,3.55,4.88,2.02
1773948064.0422592,3.3,4.84,2.2
1773948064.8423104,2.27,4.03,2.31
1773948065.442385,2.04,3.23,2.97
1773948067.2405324,nan,nan,nan
1773948067.5415447,nan,nan,nan
1773948067.7427936,nan,nan,nan
1773948067.8420177,nan,nan,nan
1773948067.9421299,nan,nan,nan
1773948068.0503788,nan,nan,nan
1773948068.14145,nan,nan,nan
1773948068.241766,nan,nan,nan
1773948068.3417726,nan,nan,nan
1773948068.4420853,nan,nan,nan
1773948068.5431936,2.87,2.44,2.97
1773948068.6416838,nan,nan,nan
1773948068.7408462,nan,nan,nan
1773948068.8416536,nan,nan,nan
1773948068.9423451,nan,nan,nan
1773948069.0410147,nan,nan,nan
1773948069.141813,nan,nan,nan
1773948069.240904,nan,nan,nan
1773948069.3469954,3.53,2.63,2.78
1773948069.4421942,4.05,2.81,2.53
1773948069.5422788,4.43,2.98,2.64
1773948069.6414235,nan,nan,nan
1773948069.7419972,nan,nan,nan
1773948069.841072,4.71,3.23,2.39
1773948069.9425006,4.89,3.47,2.53
1773948070.041894,5.02,3.69,2.33
1773948070.1468058,nan,nan,nan
1773948070.2424798,nan,nan,nan
1773948070.342053,nan,nan,nan
1773948070.4409974,nan,nan,nan
1773948070.5410964,nan,nan,nan
1773948070.6416476,nan,nan,nan
1773948070.7407455,nan,nan,nan
1773948070.8410883,nan,nan,nan
1773948070.9562473,nan,nan,nan
1773948071.0418878,nan,nan,nan
1773948071.141736,nan,nan,nan
1773948071.241965,4.77,4.01,2.24
1773948071.3410645,nan,nan,nan
1773948071.4569037,4.5,4.24,2.21
1773948071.542795,nan,nan,nan
1773948071.6418045,nan,nan,nan
1773948071.7409472,4.2,4.37,2.11
1773948071.8423655,3.92,4.48,2.07
1773948071.944202,nan,nan,nan
1773948072.0416594,3.67,4.5,2.29
1773948072.1424637,3.46,4.49,2.48
1773948072.6424074,2.61,4.2,2.67
1773948072.8413796,2.48,3.92,2.6
1773948073.0410235,2.33,3.7,2.84
1773948073.1417985,2.31,3.54,2.83
1773948074.54945,nan,nan,nan
1773948074.769028,nan,nan,nan
1773948074.8415618,nan,nan,nan
1773948074.941488,nan,nan,nan
1773948075.0419056,nan,nan,nan
1773948075.1426039,nan,nan,nan
1773948075.2440128,nan,nan,nan
1773948075.3421555,nan,nan,nan
1773948075.4440093,nan,nan,nan
1773948075.5424907,3.02,2.49,2.5
1773948075.6434052,3.58,2.39,2.39
1773948075.741891,4.02,2.36,2.21
1773948075.8490436,4.35,2.34,2.13
1773948075.9410558,4.59,2.38,2.09
1773948076.0571227,4.96,2.45,1.84
1773948076.1419435,5.06,2.45,1.81
1773948076.2598631,5.1,2.47,1.79
1773948076.342013,5.13,2.48,1.76
1773948076.4636173,5.15,2.5,1.72
1773948076.5418127,5.16,2.52,1.69
1773948076.6442215,5.14,2.54,1.64
1773948076.7429552,5.15,2.57,1.58
1773948076.8508406,5.14,2.59,1.53
1773948077.0424178,5.13,2.62,1.56
1773948077.1450427,5.12,2.62,1.56
1773948077.2419033,5.12,2.63,1.55
1773948077.3424141,5.13,2.63,1.53
1773948077.4421108,5.13,2.63,1.62
1773948077.5426705,5.13,2.63,1.63
1773948077.6420555,5.13,2.64,1.64
1773948077.7416937,5.14,2.63,1.62
1773948077.8577096,5.13,2.64,1.66
1773948077.9440987,5.14,2.62,1.59
1773948078.0426614,5.14,2.61,1.56
1773948078.1419306,5.15,2.61,1.58
1773948078.2413428,5.15,2.6,1.57
1773948078.3424287,5.15,2.61,1.55
1773948078.4419475,5.13,2.62,1.57
1773948078.541312,5.14,2.64,1.53
1773948078.6420813,5.14,2.65,1.53
1773948078.7427235,5.13,2.64,1.5
1773948078.855115,5.12,2.64,1.53
1773948078.942493,5.12,2.64,1.58
1773948079.0437253,5.14,2.63,1.57
1773948079.1416101,5.14,2.62,1.59
1773948079.2416823,5.14,2.63,1.61
1773948079.3450108,5.14,2.62,1.61
1773948079.4421194,5.15,2.62,1.64
1773948079.5417707,5.15,2.61,1.67
1773948079.6417768,5.15,2.61,1.68
1773948079.7420232,5.15,2.6,1.66
1773948079.8409476,5.15,2.61,1.69
1773948079.942036,5.15,2.61,1.73
1773948080.042273,5.15,2.61,1.68
