Time,POSX,POSY,POSZ
1774557402.131535,-2.0686,1.7553,1.4838
1774557402.132662,-2.0686,1.7552,1.4837
1774557402.1338546,-2.0686,1.755,1.4837
1774557402.138676,-2.0686,1.7549,1.4836
1774557402.1434321,-2.0685,1.7546,1.4836
1774557402.1503565,-2.0687,1.7544,1.4836
1774557402.1543078,-2.0687,1.7543,1.4835
1774557402.1637473,-2.0687,1.7541,1.4835
1774557402.1657214,-2.0687,1.7539,1.4835
1774557402.1718488,-2.0687,1.7537,1.4834
1774557402.1768339,-2.0687,1.7536,1.4834
1774557402.181796,-2.0687,1.7534,1.4834
1774557402.1974576,-2.0687,1.7532,1.4834
1774557402.2053754,-2.0687,1.7529,1.4834
1774557402.2094848,-2.0687,1.7526,1.4834
1774557402.2150986,-2.0687,1.7523,1.4834
1774557402.2262032,-2.0687,1.752,1.4834
1774557402.242599,-2.0686,1.7517,1.4834
1774557402.2526028,-2.0686,1.7515,1.4835
1774557402.2536771,-2.0686,1.7512,1.4835
1774557402.2722619,-2.0685,1.7509,1.4835
1774557402.2727587,-2.0684,1.7507,1.4836
1774557402.2731597,-2.0683,1.7504,1.4837
1774557402.2735584,-2.0682,1.7501,1.4837
1774557402.2743118,-2.0681,1.7498,1.4838
1774557402.2750218,-2.0679,1.7495,1.4839
1774557402.2754726,-2.0678,1.7492,1.484
1774557402.2759023,-2.0677,1.7489,1.4841
1774557402.276875,-2.0676,1.7485,1.4842
1774557402.2827117,-2.0674,1.7481,1.4844
1774557402.2974248,-2.0672,1.7478,1.4846
1774557402.30908,-2.067,1.7475,1.4847
1774557402.3097398,-2.0667,1.7472,1.4849
1774557402.3110604,-2.0665,1.7469,1.4851
1774557402.3122299,-2.0662,1.7465,1.4854
1774557402.3169956,-2.066,1.7461,1.4855
1774557402.3304417,-2.0657,1.7458,1.4857
1774557402.3385952,-2.0654,1.7453,1.486
1774557402.339122,-2.0651,1.7448,1.4863
1774557402.3395379,-2.0649,1.7442,1.4866
1774557402.359786,-2.0646,1.7437,1.4868
1774557402.3602738,-2.0642,1.7432,1.487
1774557402.3606865,-2.0639,1.7428,1.4875
1774557402.3781605,-2.0636,1.7423,1.4878
1774557402.3834658,-2.0633,1.7417,1.4881
1774557402.3875904,-2.0629,1.7411,1.4884
1774557402.3883576,-2.0625,1.7404,1.4888
1774557402.391893,-2.0621,1.7399,1.4894
1774557402.4112298,-2.0617,1.739,1.4896
1774557402.4126065,-2.0612,1.7383,1.4901
1774557402.4194465,-2.061,1.7376,1.4903
1774557402.4460864,-2.0605,1.7368,1.4909
1774557402.4472585,-2.0604,1.7358,1.4911
1774557402.4477413,-2.0601,1.735,1.4915
1774557402.448213,-2.0597,1.7341,1.4919
1774557402.4506366,-2.0593,1.7332,1.4924
1774557402.454688,-2.059,1.7323,1.4929
1774557402.4614174,-2.0586,1.7313,1.4933
1774557402.462105,-2.0583,1.7302,1.4938
1774557402.4706252,-2.058,1.7292,1.4941
1774557402.477759,-2.0577,1.7281,1.4946
1774557402.4782243,-2.0574,1.727,1.4951
1774557402.478852,-2.057,1.7258,1.4954
1774557402.4858625,-2.0569,1.7244,1.496
1774557402.4872196,-2.0566,1.7231,1.4965
1774557402.4907944,-2.0563,1.7217,1.4969
1774557402.4939167,-2.0558,1.7203,1.4972
1774557402.508531,-2.0557,1.7188,1.4977
1774557402.5106468,-2.0552,1.7175,1.4983
1774557402.518636,-2.055,1.716,1.4987
1774557402.5191493,-2.0546,1.7145,1.4991
1774557402.522382,-2.0543,1.7129,1.4994
1774557402.5339394,-2.0539,1.7112,1.4999
1774557402.5358162,-2.0537,1.7097,1.5005
1774557402.550495,-2.0534,1.7081,1.5008
1774557402.5565834,-2.0531,1.7063,1.5012
1774557402.5625668,-2.0524,1.7048,1.5015
1774557402.563204,-2.0525,1.7028,1.5019
1774557402.5636973,-2.052,1.701,1.5023
1774557402.5649972,-2.0517,1.6991,1.5026
