Time,POSX,POSY,POSZ
1774557405.613926,-1.7,0.77,-0.39
1774557405.7128117,-1.7,0.74,-0.36
1774557405.813639,-1.7196,0.7106,-0.3306
1774557405.9116836,-1.7148,0.6639,-0.3004
1774557406.0136433,-1.7057,0.6281,-0.27
1774557406.1117363,-1.6894,0.5966,-0.2465
1774557406.2119296,-1.676,0.5658,-0.2138
1774557406.324671,-1.6634,0.5285,-0.1908
1774557406.411866,-1.6716,0.4993,-0.1963
1774557406.516767,-1.6896,0.4664,-0.2074
1774557406.6122093,-1.7012,0.4325,-0.2161
1774557406.7127094,-1.7128,0.4031,-0.2182
1774557406.8119981,-1.7166,0.3739,-0.224
1774557406.9121308,-1.7116,0.3444,-0.221
1774557407.0136213,-1.6897,0.3147,-0.1824
1774557407.3839033,-1.6673,0.2381,-0.1355
1774557407.384294,-1.6608,0.235,-0.1409
1774557407.3846037,-1.6605,0.2236,-0.147
1774557407.413848,-1.6566,0.1954,-0.1457
1774557407.511816,-1.6519,0.1456,-0.1367
1774557407.6244776,-1.6288,0.0908,-0.1329
1774557407.7122853,-1.5937,0.042,-0.1357
1774557407.8128383,-1.5708,-0.0081,-0.1408
1774557407.9126332,-1.5348,-0.0557,-0.1451
1774557408.0117118,-1.5092,-0.1012,-0.1488
1774557408.1133552,-1.4911,-0.1428,-0.1517
1774557408.2123232,-1.4689,-0.18,-0.1643
1774557408.31303,-1.4535,-0.2119,-0.177
1774557408.4122136,-1.4266,-0.2425,-0.1963
1774557408.512038,-1.4012,-0.2727,-0.2137
1774557408.613422,-1.3769,-0.3096,-0.2262
1774557408.7115574,-1.3506,-0.3533,-0.2352
1774557408.8118343,-1.3256,-0.3935,-0.2449
1774557408.9121525,-1.3019,-0.4338,-0.2518
1774557409.0309865,-1.2835,-0.4822,-0.257
1774557409.1129363,-1.2725,-0.5186,-0.2664
1774557409.2128313,-1.2466,-0.5578,-0.2866
1774557409.3115082,-1.2191,-0.5936,-0.3241
1774557409.4127312,-1.1933,-0.6347,-0.3478
1774557409.5130985,-1.1625,-0.6853,-0.3478
1774557409.611504,-1.1317,-0.7425,-0.3406
1774557409.7117937,-1.0837,-0.8054,-0.3019
1774557409.8116975,-1.0271,-0.8717,-0.2671
1774557409.9145825,-0.9637,-0.9214,-0.1951
1774557410.011324,-0.9074,-0.9498,-0.1535
1774557410.112457,-0.8441,-0.9693,-0.1203
1774557410.212517,-0.7872,-0.974,-0.1002
1774557410.3117568,-0.7348,-0.9685,-0.0962
1774557410.4124908,-0.6952,-0.9462,-0.0972
1774557410.5133886,-0.6487,-0.935,-0.0784
1774557410.6127534,-0.6042,-0.9316,-0.0888
1774557410.711839,-0.5444,-0.9477,-0.0835
1774557410.8153262,-0.4821,-0.9686,-0.0633
1774557410.9119134,-0.4181,-0.9912,-0.0628
1774557411.0118866,-0.3599,-1.0035,-0.0595
1774557411.1274447,-0.282,-1.0335,-0.0601
1774557411.2124777,-0.2086,-1.0654,-0.0724
1774557411.3128664,-0.1297,-1.0964,-0.0874
1774557411.4115956,-0.0726,-1.0909,-0.0821
1774557411.51167,-0.0071,-1.0924,-0.0884
1774557411.6123955,0.0542,-1.0725,-0.0965
1774557411.7125068,0.1318,-1.0702,-0.1091
1774557411.8185568,0.2038,-1.0514,-0.1184
1774557411.9114606,0.2609,-1.0262,-0.1086
1774557412.0128407,0.3422,-1.0212,-0.1115
1774557412.1115942,0.42,-1.0235,-0.117
1774557412.211445,0.4901,-1.0049,-0.1077
1774557412.3114426,0.574,-1.0043,-0.1143
1774557412.4122422,0.6581,-0.987,-0.1158
1774557412.5115542,0.7413,-0.9609,-0.1136
1774557412.6125484,0.8285,-0.9485,-0.1021
1774557412.7155647,0.9154,-0.9295,-0.0904
1774557412.8125458,1.0014,-0.9125,-0.0789
1774557412.912168,1.0843,-0.8937,-0.0773
1774557413.012014,1.167,-0.8703,-0.0763
1774557413.1134086,1.2601,-0.8403,-0.0724
1774557413.2116144,1.345,-0.8157,-0.0731
1774557413.3125212,1.4236,-0.7883,-0.0803
1774557413.412839,1.496,-0.7491,-0.0857
1774557413.5118673,1.5634,-0.7116,-0.0697
1774557413.6140504,1.613,-0.6483,-0.0383
1774557413.7121298,1.6561,-0.5841,-0.0027
1774557413.812052,1.7208,-0.5385,-0.0004
1774557413.9118705,1.7703,-0.4803,0.0207
1774557414.0123162,1.8093,-0.4162,0.0523
1774557414.1111255,1.8431,-0.3552,0.0612
1774557414.212634,1.8684,-0.2955,0.0872
1774557414.3123102,1.8926,-0.2381,0.0788
1774557414.412118,1.9168,-0.1752,0.0556
1774557414.518239,1.9334,-0.1,0.0452
1774557414.612046,1.9316,-0.015,0.0469
1774557414.712022,1.9332,0.0724,0.0381
1774557414.811631,1.9318,0.1629,0.0349
1774557414.912106,1.9353,0.2557,0.0621
1774557415.0112267,1.9287,0.3427,0.0551
1774557415.1133244,1.9061,0.4369,0.073
1774557415.2122898,1.884,0.5205,0.0756
1774557415.312347,1.8535,0.6112,0.0971
1774557415.4116297,1.8234,0.6962,0.1256
1774557415.511033,1.8041,0.7741,0.1292
1774557415.6125185,1.7893,0.8476,0.1481
1774557415.7125506,1.7778,0.9197,0.1479
1774557415.8162048,1.7691,0.9863,0.1442
1774557415.911477,1.7585,1.0435,0.1142
1774557416.011318,1.744,1.0934,0.0825
1774557416.1113522,1.7333,1.1393,0.0495
1774557416.2120898,1.7152,1.1791,0.019
1774557416.3118696,1.702,1.2107,-0.0162
1774557416.4121122,1.6691,1.247,-0.0115
1774557416.517684,1.6218,1.2819,-0.028
1774557416.6123161,1.5718,1.3033,-0.0457
1774557416.7135806,1.5191,1.368,-0.0651
1774557416.811568,1.4554,1.4339,-0.0653
1774557416.9124527,1.3998,1.4797,-0.0353
1774557417.0124588,1.3441,1.5128,-0.0001
1774557417.1109138,1.2853,1.5366,0.0421
1774557417.227128,1.2139,1.5766,0.0598
1774557417.3114657,1.144,1.6021,0.0519
1774557417.4115083,1.0587,1.6136,0.0265
1774557417.5119035,0.9722,1.6195,-0.0052
1774557417.611213,0.8822,1.621,-0.038
1774557417.7116125,0.7892,1.6202,-0.0683
1774557417.8110154,0.6983,1.6074,-0.0864
1774557417.9146044,0.6038,1.5805,-0.1094
1774557418.0122967,0.5141,1.5716,-0.1086
1774557418.1120462,0.4216,1.5675,-0.1144
1774557418.211358,0.3251,1.5665,-0.1247
1774557418.3117173,0.2316,1.5648,-0.1219
1774557418.4111905,0.1414,1.5657,-0.1293
1774557418.5122893,0.0524,1.5622,-0.1178
1774557418.613277,-0.0512,1.5654,-0.0858
1774557418.7112477,-0.1572,1.5766,-0.0625
1774557418.8124235,-0.2581,1.5775,-0.0257
