Time,POSX,POSY,POSZ
1774557405.613926,-1.7,0.77,-0.39
1774557405.7128117,-1.7,0.74,-0.36
1774557405.813639,-1.72,0.71,-0.33
1774557405.9116836,-1.71,0.66,-0.3
1774557406.0136433,-1.7,0.63,-0.27
1774557406.1117363,-1.68,0.6,-0.25
1774557406.2119296,-1.67,0.57,-0.21
1774557406.324671,-1.66,0.53,-0.2
1774557406.411866,-1.69,0.5,-0.23
1774557406.516767,-1.72,0.47,-0.25
1774557406.6122093,-1.72,0.43,-0.25
1774557406.7127094,-1.73,0.41,-0.24
1774557406.8119981,-1.72,0.38,-0.25
1774557406.9121308,-1.7,0.35,-0.23
1774557407.0136213,-1.65,0.32,-0.13
1774557407.3839033,-1.65,0.28,-0.13
1774557407.384294,-1.65,0.23,-0.15
1774557407.3846037,-1.66,0.2,-0.16
1774557407.413848,-1.65,0.15,-0.15
1774557407.511816,-1.65,0.1,-0.14
1774557407.6244776,-1.59,0.05,-0.15
1774557407.7122853,-1.53,0.0,-0.16
1774557407.8128383,-1.54,-0.04,-0.17
1774557407.9126332,-1.48,-0.08,-0.17
1774557408.0117118,-1.48,-0.12,-0.17
1774557408.1133552,-1.48,-0.15,-0.17
1774557408.2123232,-1.45,-0.18,-0.2
1774557408.31303,-1.45,-0.2,-0.21
1774557408.4122136,-1.4,-0.23,-0.24
1774557408.512038,-1.38,-0.26,-0.25
1774557408.613422,-1.36,-0.31,-0.25
1774557408.7115574,-1.33,-0.37,-0.25
1774557408.8118343,-1.31,-0.4,-0.26
1774557408.9121525,-1.29,-0.44,-0.26
1774557409.0309865,-1.29,-0.49,-0.26
1774557409.1129363,-1.28,-0.53,-0.28
1774557409.2128313,-1.23,-0.56,-0.32
1774557409.3115082,-1.2,-0.59,-0.39
1774557409.4127312,-1.18,-0.64,-0.38
1774557409.5130985,-1.14,-0.71,-0.33
1774557409.611504,-1.11,-0.78,-0.31
1774557409.7117937,-1.03,-0.85,-0.21
1774557409.8116975,-0.96,-0.92,-0.19
1774557409.9145825,-0.89,-0.93,-0.05
1774557410.011324,-0.85,-0.92,-0.08
1774557410.112457,-0.78,-0.92,-0.07
1774557410.212517,-0.74,-0.9,-0.08
1774557410.3117568,-0.7,-0.88,-0.11
1774557410.4124908,-0.69,-0.83,-0.12
1774557410.5133886,-0.63,-0.85,-0.06
1774557410.6127534,-0.59,-0.87,-0.13
1774557410.711839,-0.5,-0.93,-0.09
1774557410.8153262,-0.44,-0.96,-0.04
1774557410.9119134,-0.37,-0.99,-0.08
1774557411.0118866,-0.33,-0.98,-0.07
1774557411.1274447,-0.23,-1.04,-0.08
1774557411.2124777,-0.14,-1.09,-0.11
1774557411.3128664,-0.07,-1.11,-0.13
1774557411.4115956,-0.06,-1.03,-0.08
1774557411.51167,0.02,-1.05,-0.11
1774557411.6123955,0.07,-0.99,-0.12
1774557411.7125068,0.18,-1.03,-0.14
1774557411.8185568,0.23,-0.98,-0.14
1774557411.9114606,0.27,-0.95,-0.09
1774557412.0128407,0.39,-0.99,-0.12
1774557412.1115942,0.46,-1.01,-0.13
1774557412.211445,0.51,-0.95,-0.09
1774557412.3114426,0.62,-0.99,-0.13
1774557412.4122422,0.7,-0.94,-0.12
1774557412.5115542,0.78,-0.9,-0.11
1774557412.6125484,0.87,-0.92,-0.08
1774557412.7155647,0.95,-0.89,-0.07
1774557412.8125458,1.04,-0.88,-0.06
1774557412.912168,1.11,-0.86,-0.08
1774557413.012014,1.19,-0.83,-0.08
1774557413.1134086,1.3,-0.79,-0.07
1774557413.2116144,1.37,-0.78,-0.08
1774557413.3125212,1.43,-0.75,-0.1
1774557413.412839,1.49,-0.69,-0.1
1774557413.5118673,1.55,-0.66,-0.04
1774557413.6140504,1.56,-0.55,0.02
1774557413.7121298,1.6,-0.49,0.06
1774557413.812052,1.71,-0.49,-0.01
1774557413.9118705,1.73,-0.41,0.05
1774557414.0123162,1.75,-0.34,0.1
1774557414.1111255,1.78,-0.29,0.06
1774557414.212634,1.79,-0.24,0.12
1774557414.3123102,1.82,-0.19,0.04
1774557414.412118,1.85,-0.12,-0.01
1774557414.518239,1.85,-0.03,0.01
1774557414.612046,1.83,0.08,0.04
1774557414.712022,1.84,0.16,0.01
1774557414.811631,1.84,0.25,0.02
1774557414.912106,1.86,0.34,0.11
1774557415.0112267,1.84,0.41,0.03
1774557415.1133244,1.79,0.51,0.1
1774557415.2122898,1.78,0.57,0.07
1774557415.312347,1.74,0.67,0.13
1774557415.4116297,1.72,0.74,0.17
1774557415.511033,1.73,0.8,0.12
1774557415.6125185,1.73,0.86,0.17
1774557415.7125506,1.73,0.93,0.13
1774557415.8162048,1.73,0.98,0.12
1774557415.911477,1.72,1.03,0.04
1774557416.011318,1.7,1.06,0.01
1774557416.1113522,1.7,1.1,-0.02
1774557416.2120898,1.67,1.13,-0.04
1774557416.3118696,1.67,1.15,-0.08
1774557416.4121122,1.6,1.2,0.01
1774557416.517684,1.53,1.23,-0.05
1774557416.6123161,1.48,1.24,-0.07
1774557416.7135806,1.43,1.39,-0.09
1774557416.811568,1.35,1.46,-0.05
1774557416.9124527,1.32,1.46,0.04
1774557417.0124588,1.27,1.47,0.08
1774557417.1109138,1.21,1.48,0.13
1774557417.227128,1.13,1.54,0.09
1774557417.3114657,1.05,1.57,0.03
1774557417.4115083,0.95,1.54,-0.03
1774557417.5119035,0.87,1.54,-0.07
1774557417.611213,0.78,1.54,-0.1
1774557417.7116125,0.69,1.54,-0.12
1774557417.8110154,0.61,1.51,-0.11
1774557417.9146044,0.52,1.46,-0.14
1774557418.0122967,0.44,1.5,-0.09
1774557418.1120462,0.35,1.51,-0.11
1774557418.211358,0.25,1.52,-0.13
1774557418.3117173,0.17,1.52,-0.1
1774557418.4111905,0.09,1.53,-0.13
1774557418.5122893,0.01,1.52,-0.08
1774557418.613277,-0.12,1.54,-0.01
1774557418.7112477,-0.23,1.57,-0.01
1774557418.8124235,-0.31,1.55,0.05
1774557418.911927,-0.4,1.53,0.02
1774557419.012335,-0.48,1.51,0.06
1774557419.111554,-0.57,1.48,0.07
1774557419.2111413,-0.66,1.46,0.0
1774557419.311147,-0.73,1.43,0.09
1774557419.4113264,-0.8,1.4,0.09
1774557419.5121439,-0.92,1.42,0.02
1774557419.6118398,-0.93,1.32,0.03
1774557419.7113373,-0.96,1.25,-0.03
1774557419.8117347,-0.98,1.19,-0.07
1774557419.9116545,-1.03,1.14,0.02
1774557420.0116987,-1.08,1.09,-0.02
1774557420.112424,-1.1,1.02,0.06
1774557420.2116067,-1.13,0.95,0.02
1774557420.3139129,-1.15,0.9,0.01
1774557420.4124234,-1.17,0.84,0.07
1774557420.5116782,-1.21,0.76,0.03
