Time,POSX,POSY,POSZ
1774554348.261598,-1.38,0.01,1.91
1774554348.3616478,-1.35,-0.06,1.89
1774554348.4615223,-1.3108,-0.1385,2.0175
1774554348.5618575,-1.2704,-0.2026,2.032
1774554348.6612475,-1.2374,-0.2704,2.0121
1774554348.7624943,-1.2,-0.3275,2.0768
1774554348.8619773,-1.1782,-0.402,2.1401
1774554348.9850934,-1.1335,-0.4823,2.1606
1774554349.0614395,-1.1224,-0.55,2.144
1774554349.1617937,-1.1124,-0.6288,2.1545
1774554349.262328,-1.091,-0.692,2.1264
1774554349.3625896,-1.0585,-0.7373,2.0868
1774554349.4610841,-1.0078,-0.7787,2.048
1774554349.5630207,-0.9479,-0.816,2.0176
1774554349.661367,-0.8763,-0.8441,1.9967
1774554349.7611532,-0.7994,-0.8683,1.9967
1774554349.8790648,-0.721,-0.8912,1.993
1774554349.9608936,-0.6447,-0.9,1.9909
1774554350.06393,-0.5586,-0.9109,1.9893
1774554350.1618178,-0.4642,-0.918,1.9952
1774554350.2618704,-0.3751,-0.9249,1.996
1774554350.361006,-0.2945,-0.9275,1.9763
1774554350.461439,-0.2123,-0.9345,1.9488
1774554350.5696108,-0.1366,-0.9356,1.9255
1774554350.6614692,-0.0425,-0.9384,1.9031
1774554350.761707,0.0356,-0.9405,1.9071
1774554350.8617866,0.1083,-0.9373,1.9036
1774554350.9621334,0.1771,-0.9337,1.8981
1774554351.0618496,0.2461,-0.9331,1.9146
1774554351.1619067,0.3124,-0.9283,1.92
1774554351.273464,0.385,-0.9249,1.9611
1774554351.3617148,0.4462,-0.9192,2.017
1774554351.4710758,0.5466,-0.9264,2.0311
1774554351.561225,0.6491,-0.9323,2.0239
1774554351.6626852,0.7715,-0.9403,2.0022
1774554351.76095,0.9171,-0.9518,1.9996
1774554351.8655448,1.055,-0.9532,2.0442
1774554351.9616032,1.1549,-0.9397,2.109
1774554352.0619075,1.2582,-0.9197,2.1258
1774554352.1616929,1.3378,-0.8849,2.1175
1774554352.2620945,1.4107,-0.8362,2.0878
1774554352.3625994,1.4819,-0.781,2.0593
1774554352.4615011,1.5344,-0.7214,2.0351
1774554352.5652971,1.6037,-0.6583,2.0241
1774554352.6620946,1.6553,-0.5842,2.046
1774554352.7616155,1.713,-0.5014,2.0518
1774554352.861276,1.7572,-0.4062,2.036
1774554352.9616344,1.802,-0.2989,2.0179
1774554353.061437,1.8565,-0.19,1.9982
1774554353.161231,1.902,-0.0702,1.9907
