Time,POSX,POSY,POSZ
1774558100.1741447,-2.1549,1.9466,1.685
1774558100.1783242,-2.1549,1.9465,1.6851
1774558100.183775,-2.155,1.9464,1.6851
1774558100.189046,-2.155,1.9463,1.6851
1774558100.2048504,-2.155,1.9462,1.6851
1774558100.2054546,-2.1549,1.9461,1.6852
1774558100.205919,-2.1549,1.946,1.6852
1774558100.2110848,-2.1548,1.9459,1.6852
1774558100.2163734,-2.1548,1.9458,1.6852
1774558100.2218244,-2.1548,1.9457,1.6852
1774558100.2307038,-2.1548,1.9455,1.6852
1774558100.2338939,-2.1548,1.9453,1.6852
1774558100.2388477,-2.1548,1.9452,1.6853
1774558100.2599967,-2.1547,1.9451,1.6853
1774558100.265033,-2.1547,1.9449,1.6853
1774558100.2701197,-2.1547,1.9447,1.6852
1774558100.2716234,-2.1547,1.9445,1.6852
1774558100.2863054,-2.1546,1.9444,1.6852
1774558100.2969625,-2.1545,1.9443,1.6852
1774558100.2975132,-2.1545,1.9441,1.6852
1774558100.328007,-2.1543,1.944,1.6853
1774558100.328477,-2.1543,1.9439,1.6852
1774558100.3288784,-2.1542,1.9437,1.6852
1774558100.3292773,-2.154,1.9436,1.6852
1774558100.329702,-2.1539,1.9434,1.6851
1774558100.3301013,-2.1538,1.9432,1.6851
1774558100.3310726,-2.1537,1.943,1.685
1774558100.3314903,-2.1536,1.9427,1.685
1774558100.3319154,-2.1534,1.9425,1.685
1774558100.3355136,-2.1533,1.9423,1.685
1774558100.3403552,-2.1531,1.942,1.6849
1774558100.3610036,-2.153,1.9417,1.6849
1774558100.3615332,-2.1529,1.9414,1.6848
1774558100.3622606,-2.1527,1.9412,1.6847
1774558100.3628035,-2.1527,1.9408,1.6846
1774558100.3673327,-2.1525,1.9405,1.6846
1774558100.374857,-2.1524,1.9403,1.6845
1774558100.3784237,-2.1522,1.94,1.6844
1774558100.3827672,-2.1521,1.9396,1.6844
1774558100.3882213,-2.1519,1.9392,1.6843
1774558100.3969474,-2.1518,1.9388,1.6842
1774558100.4002638,-2.1516,1.9384,1.6842
1774558100.4055567,-2.1514,1.938,1.6841
1774558100.41089,-2.1513,1.9374,1.684
1774558100.4223707,-2.1512,1.9369,1.6838
1774558100.4283018,-2.151,1.9363,1.6837
1774558100.430802,-2.1509,1.9358,1.6836
1774558100.4359558,-2.1506,1.9352,1.6835
1774558100.4397209,-2.1504,1.9346,1.6832
1774558100.4451792,-2.1503,1.9337,1.683
1774558100.4593687,-2.1502,1.9332,1.6827
1774558100.4607537,-2.15,1.9325,1.6825
1774558100.4630604,-2.1497,1.9318,1.6822
1774558100.4686294,-2.1496,1.9309,1.6818
1774558100.4734073,-2.1494,1.93,1.6814
1774558100.4785612,-2.1492,1.9291,1.681
1774558100.489107,-2.1489,1.9282,1.6806
1774558100.4904704,-2.1488,1.927,1.6801
1774558100.4949865,-2.1487,1.9259,1.6795
1774558100.500566,-2.1485,1.9248,1.6791
1774558100.5081205,-2.1485,1.9235,1.6785
