Time,POSX,POSY,POSZ
1774558106.7683063,-1.76,0.99,1.93
1774558106.7686884,-1.78,0.99,1.96
1774558106.7691603,-1.7748,0.9795,1.9548
1774558106.7693977,-1.7614,0.9643,1.9606
1774558106.7696412,-1.7348,0.9433,1.9571
1774558106.7698963,-1.7333,0.9243,1.967
1774558106.7701652,-1.7209,0.9144,1.9564
1774558106.7704287,-1.7038,0.8935,1.9323
1774558106.7706127,-1.6889,0.8814,1.8985
1774558106.7707675,-1.6919,0.8645,1.8797
1774558106.7709157,-1.7049,0.8441,1.8715
1774558106.7710624,-1.728,0.8266,1.871
1774558106.7712083,-1.7339,0.8165,1.8571
1774558106.7714965,-1.7247,0.7955,1.8305
1774558106.7716494,-1.6718,0.7585,1.7569
1774558106.7718859,-1.6576,0.7287,1.7303
1774558106.7721193,-1.6608,0.6988,1.719
1774558106.772367,-1.6658,0.6715,1.7243
1774558106.7725773,-1.6777,0.6462,1.7391
1774558106.7727768,-1.6918,0.6224,1.7554
1774558106.7729733,-1.7048,0.5995,1.7754
1774558106.7731802,-1.7197,0.5801,1.7954
1774558106.7733796,-1.7279,0.5579,1.8046
1774558106.7735891,-1.7393,0.5388,1.8222
1774558106.7738016,-1.7476,0.5222,1.835
1774558106.7740152,-1.7537,0.502,1.8416
1774558106.7742293,-1.7609,0.4845,1.8519
1774558106.7744534,-1.7634,0.4662,1.854
1774558106.7746742,-1.7462,0.4583,1.8446
1774558106.7748919,-1.7146,0.4553,1.8215
1774558106.7751071,-1.6915,0.4368,1.7937
1774558106.7753153,-1.6829,0.4152,1.7789
1774558106.801342,-1.6137,0.3513,1.708
1774558106.9074905,-1.6277,0.3277,1.7267
1774558106.999993,-1.6531,0.3073,1.7758
1774558107.1001241,-1.6365,0.2994,1.7551
1774558107.2026112,-1.6462,0.2796,1.7627
1774558107.3001478,-1.6668,0.2505,1.7819
1774558107.4008298,-1.6786,0.2252,1.8117
1774558107.5016236,-1.6679,0.2068,1.8117
1774558107.6139154,-1.6653,0.178,1.816
1774558107.7013195,-1.6635,0.1568,1.8371
1774558107.7998643,-1.6433,0.1381,1.836
1774558107.9002938,-1.6258,0.119,1.8462
1774558107.9999578,-1.6103,0.0963,1.8636
1774558108.101001,-1.6033,0.0709,1.879
1774558108.2017202,-1.5987,0.0333,1.8785
1774558108.3005154,-1.5888,0.0016,1.8951
1774558108.400418,-1.5683,-0.0301,1.8719
1774558108.5135787,-1.5533,-0.0639,1.869
1774558108.6009815,-1.5376,-0.0986,1.876
1774558108.700358,-1.5262,-0.1412,1.8744
1774558108.8008873,-1.515,-0.1806,1.8831
1774558108.9006436,-1.5108,-0.2239,1.8857
1774558109.0045311,-1.4946,-0.2576,1.9042
1774558109.1005533,-1.4873,-0.2952,1.9102
1774558109.2002103,-1.4856,-0.3347,1.921
1774558109.3004603,-1.4781,-0.3682,1.9384
1774558109.4012363,-1.4732,-0.3974,1.964
1774558109.500036,-1.4635,-0.4396,1.9353
1774558109.6349645,-1.4482,-0.4932,1.88
1774558109.7016718,-1.445,-0.5106,1.8639
1774558109.8014657,-1.4509,-0.5394,1.859
1774558109.9041035,-1.4622,-0.5557,1.8719
1774558110.0009675,-1.4775,-0.5744,1.8813
1774558110.1021638,-1.4921,-0.5938,1.8914
1774558110.2004082,-1.5029,-0.6056,1.9251
1774558110.3212633,-1.5107,-0.6231,1.9504
1774558110.40011,-1.5101,-0.6266,1.9895
1774558110.500309,-1.5062,-0.6385,2.0052
1774558110.6003506,-1.5001,-0.6522,2.0161
1774558110.7014482,-1.4858,-0.6643,2.0269
1774558110.8010125,-1.4624,-0.6814,1.9976
1774558110.901095,-1.4389,-0.6861,1.986
1774558111.0096357,-1.4319,-0.6959,1.9741
1774558111.1008756,-1.4146,-0.7062,1.9517
1774558111.2312176,-1.4039,-0.7105,1.9558
1774558111.3009074,-1.4027,-0.7088,1.9645
1774558111.4009216,-1.3941,-0.7072,1.9908
1774558111.5026953,-1.3915,-0.7054,2.0165
1774558111.6003392,-1.3902,-0.7028,2.0412
1774558111.7000074,-1.3828,-0.7037,2.0688
1774558111.8017113,-1.3744,-0.7072,2.0984
1774558111.90111,-1.3655,-0.7155,2.1191
1774558112.001438,-1.3494,-0.7243,2.1435
1774558112.1016905,-1.3281,-0.7367,2.1605
1774558112.2083876,-1.2928,-0.7522,2.1827
1774558112.3018851,-1.2622,-0.7684,2.1967
1774558112.4033124,-1.2301,-0.79,2.2036
1774558112.5006125,-1.1914,-0.8179,2.2108
1774558112.6017592,-1.1506,-0.8411,2.219
1774558112.7005017,-1.1057,-0.8601,2.2274
1774558112.8008215,-1.0442,-0.8898,2.1898
1774558112.8999562,-0.9746,-0.9236,2.1322
1774558113.000574,-0.9221,-0.944,2.1069
1774558113.1116915,-0.8768,-0.9589,2.095
1774558113.200011,-0.857,-0.9661,2.0635
1774558113.3028898,-0.8346,-0.9755,2.0174
1774558113.4007478,-0.8243,-0.9808,1.9679
1774558113.502225,-0.8077,-0.9875,1.9191
1774558113.6014907,-0.7877,-0.9913,1.8779
1774558113.700327,-0.7548,-0.9933,1.8424
1774558113.800561,-0.7189,-0.9974,1.8107
1774558113.9002147,-0.6515,-1.003,1.8021
1774558114.0028572,-0.5837,-1.0099,1.8031
