Time,POSX,POSY,POSZ
1774558106.7683063,-1.76,0.99,1.93
1774558106.7686884,-1.78,0.99,1.96
1774558106.7691603,-1.77,0.97,1.95
1774558106.7693977,-1.74,0.94,1.97
1774558106.7696412,-1.68,0.9,1.95
1774558106.7698963,-1.73,0.88,1.99
1774558106.7701652,-1.69,0.89,1.93
1774558106.7704287,-1.66,0.84,1.87
1774558106.7706127,-1.65,0.85,1.81
1774558106.7707675,-1.7,0.82,1.83
1774558106.7709157,-1.74,0.79,1.85
1774558106.7710624,-1.79,0.78,1.87
1774558106.7712083,-1.75,0.79,1.82
1774558106.7714965,-1.7,0.74,1.76
1774558106.7716494,-1.53,0.66,1.56
1774558106.7718859,-1.62,0.65,1.66
1774558106.7721193,-1.67,0.62,1.69
1774558106.772367,-1.68,0.6,1.74
1774558106.7725773,-1.71,0.58,1.78
1774558106.7727768,-1.73,0.56,1.8
1774558106.7729733,-1.74,0.54,1.83
1774558106.7731802,-1.76,0.53,1.85
1774558106.7733796,-1.75,0.5,1.83
1774558106.7735891,-1.77,0.49,1.87
1774558106.7738016,-1.77,0.48,1.87
1774558106.7740152,-1.77,0.45,1.86
1774558106.7742293,-1.78,0.44,1.88
1774558106.7744534,-1.77,0.42,1.86
1774558106.7746742,-1.7,0.44,1.82
1774558106.7748919,-1.63,0.45,1.76
1774558106.7751071,-1.63,0.39,1.72
1774558106.7753153,-1.66,0.36,1.74
1774558106.801342,-1.6,0.37,1.7
1774558106.9074905,-1.64,0.34,1.74
1774558106.999993,-1.67,0.32,1.8
1774558107.1001241,-1.63,0.32,1.74
1774558107.2026112,-1.66,0.29,1.77
1774558107.3001478,-1.69,0.25,1.8
1774558107.4008298,-1.69,0.23,1.84
1774558107.5016236,-1.65,0.22,1.8
1774558107.6139154,-1.66,0.18,1.81
1774558107.7013195,-1.66,0.16,1.86
1774558107.7998643,-1.61,0.15,1.82
1774558107.9002938,-1.6,0.13,1.85
1774558107.9999578,-1.59,0.1,1.88
1774558108.101001,-1.6,0.07,1.89
1774558108.2017202,-1.6,0.01,1.86
1774558108.3005154,-1.58,-0.01,1.91
1774558108.400418,-1.54,-0.04,1.81
1774558108.5135787,-1.54,-0.07,1.85
1774558108.6009815,-1.52,-0.12,1.88
1774558108.700358,-1.52,-0.17,1.86
1774558108.8008873,-1.51,-0.2,1.89
1774558108.9006436,-1.52,-0.25,1.88
1774558109.0045311,-1.48,-0.26,1.93
1774558109.1005533,-1.49,-0.31,1.91
1774558109.2002103,-1.5,-0.35,1.93
1774558109.3004603,-1.48,-0.37,1.96
1774558109.4012363,-1.48,-0.39,2.0
1774558109.500036,-1.46,-0.46,1.86
1774558109.6349645,-1.44,-0.51,1.76
1774558109.7016718,-1.45,-0.5,1.83
1774558109.8014657,-1.48,-0.53,1.85
1774558109.9041035,-1.5,-0.52,1.9
1774558110.0009675,-1.52,-0.55,1.9
1774558110.1021638,-1.53,-0.57,1.91
1774558110.2004082,-1.53,-0.57,1.99
1774558110.3212633,-1.53,-0.59,1.99
1774558110.40011,-1.51,-0.59,2.06
1774558110.500309,-1.5,-0.61,2.02
1774558110.6003506,-1.49,-0.63,2.02
1774558110.7014482,-1.46,-0.64,2.03
1774558110.8010125,-1.42,-0.67,1.92
1774558110.901095,-1.4,-0.65,1.95
1774558111.0096357,-1.43,-0.67,1.94
1774558111.1008756,-1.39,-0.69,1.9
1774558111.2312176,-1.4,-0.67,1.96
1774558111.3009074,-1.41,-0.68,1.98
1774558111.4009216,-1.39,-0.67,2.04
1774558111.5026953,-1.4,-0.67,2.06
1774558111.6003392,-1.4,-0.67,2.08
1774558111.7000074,-1.38,-0.68,2.11
1774558111.8017113,-1.37,-0.69,2.14
1774558111.90111,-1.36,-0.71,2.14
1774558112.001438,-1.33,-0.72,2.17
1774558112.1016905,-1.3,-0.74,2.17
1774558112.2083876,-1.24,-0.76,2.2
1774558112.3018851,-1.22,-0.78,2.2
1774558112.4033124,-1.19,-0.81,2.19
1774558112.5006125,-1.14,-0.85,2.2
1774558112.6017592,-1.1,-0.86,2.21
1774558112.7005017,-1.05,-0.87,2.22
1774558112.8008215,-0.96,-0.92,2.09
1774558112.8999562,-0.88,-0.96,2.0
1774558113.000574,-0.87,-0.95,2.05
1774558113.1116915,-0.85,-0.95,2.07
1774558113.200011,-0.87,-0.95,2.0
1774558113.3028898,-0.85,-0.96,1.93
1774558113.4007478,-0.86,-0.96,1.88
1774558113.502225,-0.83,-0.97,1.84
1774558113.6014907,-0.8,-0.97,1.82
1774558113.700327,-0.74,-0.97,1.8
1774558113.800561,-0.7,-0.98,1.78
1774558113.9002147,-0.57,-0.99,1.82
1774558114.0028572,-0.51,-1.0,1.84
1774558114.1006951,-0.48,-0.98,1.81
1774558114.2019649,-0.42,-0.99,1.83
1774558114.3008833,-0.36,-1.0,1.81
1774558114.4008029,-0.29,-1.01,1.8
1774558114.500671,-0.2,-1.03,1.84
1774558114.6012626,-0.22,-1.02,1.73
1774558114.7016778,-0.18,-1.02,1.7
1774558114.8000178,-0.1,-1.04,1.75
1774558114.902141,-0.0,-1.09,1.81
1774558115.0001118,-0.02,-1.08,1.67
1774558115.1041298,-0.01,-1.07,1.6
1774558115.2013428,0.02,-1.07,1.56
1774558115.300725,0.04,-1.08,1.46
