Time,POSX,POSY,POSZ
1774557829.884406,-2.3547,1.6513,1.5656
1774557829.891895,-2.3557,1.6511,1.5657
1774557829.8973353,-2.356,1.6506,1.5658
1774557829.9016678,-2.3562,1.6499,1.5659
1774557829.9067848,-2.3557,1.6488,1.566
1774557829.9211094,-2.3566,1.6483,1.566
1774557829.9226675,-2.3564,1.6476,1.5662
1774557829.9269242,-2.3569,1.6467,1.5664
1774557829.932594,-2.3573,1.646,1.5667
1774557829.9409153,-2.3576,1.6454,1.567
1774557829.9472897,-2.3577,1.6445,1.5672
1774557829.947793,-2.3594,1.6434,1.5673
1774557829.956504,-2.3584,1.6432,1.5677
1774557829.959134,-2.3578,1.6424,1.5681
1774557829.9904122,-2.3577,1.6416,1.5684
1774557829.9909298,-2.3578,1.6407,1.5689
1774557830.0060565,-2.3582,1.6401,1.5693
1774557830.0066154,-2.3574,1.6394,1.57
1774557830.0069993,-2.3572,1.6385,1.5705
1774557830.0073798,-2.357,1.6378,1.571
1774557830.0433006,-2.3566,1.6371,1.5716
1774557830.0441508,-2.3563,1.6364,1.5722
1774557830.0450044,-2.3558,1.6356,1.5729
1774557830.0458226,-2.3555,1.6348,1.5738
1774557830.0468965,-2.355,1.634,1.5744
1774557830.0475013,-2.3546,1.6331,1.5753
1774557830.0479474,-2.3542,1.6325,1.576
1774557830.0484557,-2.3536,1.6316,1.5768
1774557830.0526736,-2.3533,1.6308,1.5775
1774557830.053394,-2.3528,1.6299,1.5784
1774557830.0542316,-2.3524,1.629,1.5791
1774557830.059535,-2.3519,1.6281,1.5799
1774557830.0663142,-2.3516,1.6272,1.5807
1774557830.06921,-2.3512,1.6261,1.5817
1774557830.0753365,-2.3509,1.6252,1.5826
1774557830.0794675,-2.3505,1.6242,1.5835
1774557830.08433,-2.35,1.623,1.5844
1774557830.0898595,-2.3496,1.622,1.5853
1774557830.097493,-2.3492,1.6208,1.5862
1774557830.1020617,-2.3489,1.6199,1.5873
1774557830.1090147,-2.3484,1.6186,1.5882
1774557830.1381824,-2.3479,1.6175,1.5891
1774557830.139565,-2.3472,1.6162,1.5902
1774557830.140046,-2.3467,1.6152,1.5912
1774557830.1423283,-2.346,1.6138,1.5923
1774557830.1428225,-2.3453,1.6126,1.5932
1774557830.1541665,-2.3448,1.6114,1.5942
1774557830.1547728,-2.344,1.6101,1.5953
1774557830.157426,-2.3433,1.6089,1.5963
1774557830.1593218,-2.3424,1.6075,1.5972
1774557830.1667545,-2.3416,1.6062,1.5983
1774557830.1673868,-2.3409,1.6046,1.5992
1774557830.173646,-2.34,1.6031,1.6
1774557830.1820817,-2.3396,1.6019,1.6009
1774557830.1852505,-2.3386,1.6002,1.6018
1774557830.1901405,-2.3376,1.5985,1.6026
1774557830.1964028,-2.3362,1.597,1.6034
1774557830.2008364,-2.3353,1.5955,1.6044
1774557830.2068257,-2.3345,1.5938,1.6052
1774557830.2126029,-2.3334,1.5923,1.6059
1774557830.2300658,-2.3324,1.5905,1.6068
1774557830.233383,-2.3315,1.5886,1.6075
1774557830.2341666,-2.3305,1.5869,1.6083
1774557830.2370677,-2.3297,1.5852,1.6091
1774557830.241983,-2.329,1.5834,1.6099
1774557830.2526097,-2.3279,1.5813,1.6106
1774557830.2618008,-2.3269,1.5794,1.6113
1774557830.2622948,-2.3258,1.5773,1.612
1774557830.2640116,-2.3247,1.5753,1.6126
1774557830.267848,-2.3236,1.5731,1.6133
1774557830.2731824,-2.3225,1.5711,1.6139
1774557830.2800498,-2.3215,1.5691,1.6146
1774557830.2878225,-2.3205,1.5666,1.6151
1774557830.2913578,-2.3193,1.5643,1.6157
1774557830.31193,-2.3181,1.562,1.6162
1774557830.312931,-2.3167,1.5597,1.6169
1774557830.3134332,-2.3153,1.5575,1.6174
1774557830.3156054,-2.3142,1.5552,1.6179
1774557830.3306465,-2.3127,1.553,1.6184
1774557830.3372247,-2.3112,1.5505,1.6188
1774557830.3787777,-2.3097,1.548,1.6192
1774557830.3792586,-2.3079,1.5457,1.6195
1774557830.379671,-2.3062,1.5432,1.6198
1774557830.3800807,-2.3045,1.5407,1.62
1774557830.3805006,-2.3028,1.5382,1.6204
1774557830.3809152,-2.3011,1.5357,1.6207
1774557830.3813272,-2.2994,1.533,1.6209
1774557830.3817399,-2.2976,1.5304,1.6211
1774557830.3821568,-2.296,1.5276,1.6213
1774557830.3825705,-2.2943,1.5251,1.6214
1774557830.3984907,-2.2925,1.5224,1.6215
1774557830.399101,-2.2908,1.5196,1.6216
1774557830.3997939,-2.2892,1.517,1.6218
1774557830.4025083,-2.2876,1.5142,1.6219
1774557830.4067621,-2.2858,1.5114,1.622
1774557830.4120996,-2.2843,1.5085,1.6222
1774557830.4176092,-2.2827,1.506,1.6222
1774557830.4364557,-2.281,1.503,1.6222
1774557830.4393387,-2.2793,1.5002,1.6223
1774557830.4417684,-2.2776,1.4973,1.6223
1774557830.461312,-2.2758,1.4944,1.6224
1774557830.461884,-2.2742,1.4916,1.6224
1774557830.462315,-2.2722,1.4888,1.6225
1774557830.4627533,-2.2705,1.4859,1.6224
1774557830.4632564,-2.2687,1.4831,1.6224
1774557830.4842656,-2.267,1.4802,1.6225
1774557830.4858258,-2.2652,1.4774,1.6226
1774557830.4873602,-2.2633,1.4744,1.6226
1774557830.4888396,-2.2614,1.4718,1.6227
1774557830.490059,-2.2594,1.4692,1.6228
1774557830.498205,-2.2575,1.4662,1.6228
1774557830.505226,-2.2555,1.4635,1.6228
1774557830.5071473,-2.2533,1.4608,1.6228
1774557830.5126455,-2.2509,1.4578,1.6227
