Time,POSX,POSY,POSZ
1774557836.5355911,-1.81,0.47,2.01
1774557836.5358653,-1.83,0.43,1.98
1774557836.5362098,-1.8195,0.4143,1.9905
1774557836.5364425,-1.8235,0.3934,2.0057
1774557836.5366707,-1.8126,0.3825,2.0038
1774557836.5368998,-1.8208,0.3667,2.0327
1774557836.5371404,-1.8349,0.3447,2.0605
1774557836.5374186,-1.8531,0.3238,2.0745
1774557836.5376806,-1.8688,0.3061,2.0651
1774557836.537874,-1.8829,0.2851,2.0774
1774557836.5380392,-1.9067,0.2618,2.0782
1774557836.5382,-1.9159,0.2394,2.0597
1774557836.538368,-1.9225,0.2177,2.03
1774557836.5387938,-1.9031,0.2042,1.9973
1774557836.5389674,-1.8887,0.1892,1.9681
1774557836.5391083,-1.8565,0.1811,1.936
1774557836.539639,-1.8111,0.1745,1.9176
1774557836.5399823,-1.7751,0.1646,1.9207
1774557836.540313,-1.7243,0.1573,1.9093
1774557836.5406003,-1.6681,0.1494,1.8901
1774557836.5407565,-1.6111,0.1438,1.8708
1774557836.5409951,-1.583,0.1314,1.8594
1774557836.5411363,-1.5736,0.1145,1.8512
1774557836.5412574,-1.5506,0.1049,1.8426
1774557836.5413752,-1.5203,0.1006,1.839
1774557836.5414917,-1.5117,0.092,1.8499
1774557836.5416062,-1.519,0.0831,1.8498
1774557836.5417254,-1.5135,0.082,1.8605
1774557836.5418406,-1.5122,0.0785,1.8737
1774557836.5419536,-1.5302,0.0651,1.8753
1774557836.542066,-1.5271,0.0581,1.8683
1774557836.5421786,-1.5357,0.0448,1.8794
1774557836.5422916,-1.5582,0.0297,1.8984
1774557836.6052485,-1.5764,-0.0184,1.9423
1774557836.7049968,-1.6696,-0.0475,1.9305
1774557836.8058407,-1.7466,-0.077,1.9342
1774557836.9056761,-1.7198,-0.0817,1.9479
1774557837.0050967,-1.6782,-0.0775,1.9596
1774557837.1052775,-1.6796,-0.0894,1.9358
1774557837.2053819,-1.7026,-0.1184,1.9812
1774557837.305914,-1.7418,-0.1483,1.9743
1774557837.4145463,-1.7503,-0.1714,1.9655
1774557837.5069947,-1.7688,-0.2029,1.9393
1774557837.6074674,-1.7698,-0.2316,1.9789
1774557837.713095,-1.7812,-0.2731,1.9947
1774557837.8047593,-1.7435,-0.2907,1.9794
1774557837.908185,-1.6818,-0.3037,1.9937
1774557838.0053713,-1.631,-0.321,1.9787
1774557838.1189132,-1.5838,-0.3378,1.961
1774557838.2052636,-1.5315,-0.3548,1.9413
1774557838.3053527,-1.4803,-0.3747,1.9648
1774557838.410928,-1.4335,-0.3987,1.9715
1774557838.505242,-1.3919,-0.4264,1.9692
1774557838.6106718,-1.3549,-0.457,1.9642
1774557838.705806,-1.3207,-0.4928,1.957
1774557838.8076408,-1.3163,-0.5419,1.9418
1774557838.9047616,-1.3182,-0.5883,1.9242
1774557839.0237067,-1.3048,-0.6347,1.9316
