Time,POSX,POSY,POSZ
1774557836.7054245,-1.85,-0.09,-0.55
1774557836.8043878,-1.83,-0.09,-0.53
1774557836.9061108,-1.8,-0.09,-0.55
1774557837.0055754,-1.77,-0.09,-0.57
1774557837.1058307,-1.74,-0.17,-0.67
1774557837.2057571,-1.59,-0.23,-0.67
1774557837.30653,-1.62,-0.24,-0.74
1774557837.4159708,-1.64,-0.18,-0.72
1774557837.507666,-1.65,-0.18,-0.73
1774557837.6090803,-1.65,-0.18,-0.74
1774557837.704757,-1.61,-0.24,-0.75
1774557837.8054864,-1.58,-0.21,-0.68
1774557837.9086857,-1.56,-0.22,-0.66
1774557838.0069475,-1.53,-0.22,-0.65
1774557838.1270099,-1.51,-0.25,-0.66
1774557838.2058973,-1.5,-0.29,-0.68
1774557838.3062346,-1.52,-0.34,-0.71
1774557838.408711,-1.51,-0.37,-0.74
1774557838.5057914,-1.5,-0.42,-0.77
1774557838.6055799,-1.49,-0.46,-0.8
1774557838.7073312,-1.47,-0.5,-0.83
1774557838.8094518,-1.45,-0.55,-0.84
1774557838.9055436,-1.42,-0.6,-0.87
1774557839.0271413,-1.42,-0.63,-0.87
1774557839.1056144,-1.41,-0.64,-0.15
1774557839.2065432,-1.39,-0.67,-0.34
1774557839.3062844,-1.36,-0.71,-0.49
1774557839.4050689,-1.32,-0.75,-0.6
1774557839.5096147,-1.27,-0.78,-0.69
1774557839.606295,-1.23,-0.82,-0.75
1774557839.7063851,-1.19,-0.87,-0.79
1774557839.8072,-1.11,-0.92,-0.83
1774557839.9166255,-1.0,-0.93,-0.85
1774557840.0059803,-0.92,-0.98,-0.84
1774557840.105844,-0.87,-1.01,-0.85
1774557840.2081683,-0.82,-1.03,-0.83
1774557840.3056993,-0.79,-1.05,-0.84
1774557840.4059646,-0.75,-1.05,-0.85
1774557840.507494,-0.7,-1.06,-0.87
1774557840.6079655,-0.66,-1.09,-0.88
1774557840.7054946,-0.6,-1.1,-0.88
1774557840.8109305,-0.55,-1.09,-0.91
1774557840.9050803,-0.5,-1.11,-0.91
1774557841.0081604,-0.46,-1.12,-0.92
1774557841.1065109,-0.4,-1.13,-0.18
1774557841.206059,-0.33,-1.13,-0.38
1774557841.3057818,-0.27,-1.15,-0.51
1774557841.406196,-0.2,-1.15,-0.62
1774557841.5048597,-0.14,-1.16,-0.7
1774557841.6063604,-0.08,-1.16,-0.73
1774557841.7055724,-0.01,-1.15,-0.78
1774557841.8054996,0.06,-1.06,-0.77
1774557841.9053514,0.11,-1.09,-0.79
1774557842.007196,0.17,-1.03,-0.76
1774557842.1053543,0.24,-1.01,-0.75
1774557842.205457,0.29,-0.97,-0.74
1774557842.3058205,0.35,-0.93,-0.72
1774557842.4060833,0.43,-0.91,-0.71
1774557842.5055401,0.51,-0.88,-0.71
1774557842.6046162,0.59,-0.89,-0.71
1774557842.7237065,0.65,-0.87,-0.7
1774557842.8046756,0.74,-0.88,-0.7
1774557842.9060683,0.81,-0.88,-0.69
1774557843.005221,0.89,-0.88,-0.68
1774557843.1077158,0.96,-0.87,-0.68
1774557843.205398,1.04,-0.86,-0.7
1774557843.3057024,1.11,-0.85,-0.72
1774557843.4050076,1.17,-0.82,-0.73
1774557843.5060036,1.21,-0.78,-0.74
1774557843.6054637,1.24,-0.72,-0.75
1774557843.7082672,1.26,-0.64,-0.79
1774557843.8059814,1.28,-0.59,-0.78
1774557843.9050138,1.51,-0.57,-0.86
1774557844.0064094,1.67,-0.52,-0.89
1774557844.1059167,1.62,-0.44,-0.79
1774557844.2054813,1.59,-0.38,-0.74
1774557844.3054435,1.63,-0.32,-0.7
1774557844.4051843,1.65,-0.26,-0.69
1774557844.5103562,1.71,-0.19,-0.71
1774557844.6049316,1.8,-0.15,-0.72
1774557844.7113888,1.83,-0.1,-0.72
1774557844.806669,1.85,-0.03,-0.7
1774557844.913906,1.86,0.04,-0.69
1774557845.0054605,1.91,0.12,-0.7
1774557845.1049724,1.93,0.21,-0.66
1774557845.2051659,1.92,0.3,-0.64
1774557845.3076172,1.93,0.32,-0.46
