Time,POSX,POSY,POSZ
1776442219.2834237,0.5609,1.0893,0.2257
1776442219.2889688,0.5609,1.0893,0.2257
1776442219.294436,0.5609,1.0893,0.2257
1776442219.2996466,0.5609,1.0894,0.2257
1776442219.305216,0.5609,1.0893,0.2257
1776442219.3109124,0.5609,1.0894,0.2257
1776442219.316401,0.5609,1.0893,0.2257
1776442219.3220062,0.5609,1.0893,0.2257
1776442219.3275473,0.5609,1.0893,0.2257
1776442219.3330705,0.5609,1.0893,0.2257
1776442219.3392687,0.5609,1.0893,0.2257
1776442219.3439775,0.5609,1.0893,0.2257
1776442219.3495119,0.5609,1.0893,0.2257
1776442219.3554196,0.5609,1.0893,0.2257
1776442219.3610554,0.5609,1.0893,0.2257
1776442219.3720608,0.5609,1.0893,0.2257
1776442219.3766286,0.5609,1.0893,0.2257
1776442219.377718,0.5609,1.0893,0.2257
1776442219.383073,0.5609,1.0893,0.2257
1776442219.3887258,0.5609,1.0893,0.2257
1776442219.406578,0.5609,1.0894,0.2257
1776442219.407003,0.5609,1.0893,0.2257
1776442219.4073808,0.5609,1.0893,0.2257
1776442219.4109972,0.5609,1.0893,0.2257
1776442219.4161592,0.5609,1.0893,0.2257
1776442219.4220486,0.5609,1.0893,0.2257
1776442219.4278128,0.5609,1.0893,0.2257
1776442219.4329402,0.5609,1.0893,0.2257
1776442219.4383078,0.5609,1.0893,0.2257
1776442219.4441457,0.5609,1.0893,0.2257
1776442219.449557,0.5609,1.0893,0.2257
1776442219.4551215,0.5609,1.0893,0.2257
1776442219.4605322,0.5609,1.0893,0.2257
1776442219.465785,0.5609,1.0893,0.2257
1776442219.471589,0.5609,1.0894,0.2257
1776442219.4772534,0.5609,1.0894,0.2257
1776442219.4828727,0.5609,1.0893,0.2257
1776442219.489141,0.5609,1.0894,0.2257
1776442219.4945247,0.5609,1.0894,0.2257
1776442219.499541,0.5609,1.0894,0.2257
1776442219.5048668,0.5609,1.0894,0.2257
1776442219.5168276,0.5609,1.0894,0.2257
1776442219.5174274,0.5609,1.0893,0.2257
1776442219.5227277,0.5609,1.0893,0.2256
1776442219.5277333,0.5609,1.0893,0.2257
1776442219.5336115,0.5609,1.0893,0.2257
1776442219.5384507,0.5609,1.0893,0.2257
1776442219.5449338,0.5609,1.0893,0.2257
1776442219.5494723,0.5609,1.0893,0.2257
1776442219.5549078,0.5609,1.0893,0.2257
1776442219.560659,0.5609,1.0893,0.2257
1776442219.5662127,0.5609,1.0894,0.2257
1776442219.572213,0.5609,1.0893,0.2257
1776442219.5771334,0.5609,1.0894,0.2257
1776442219.5828512,0.5609,1.0893,0.2257
1776442219.5887082,0.5609,1.0894,0.2256
1776442219.595072,0.5609,1.0893,0.2257
1776442219.5995688,0.5609,1.0893,0.2257
1776442219.6050715,0.5609,1.0893,0.2257
1776442219.6105514,0.5609,1.0893,0.2257
1776442219.6159382,0.5609,1.0893,0.2257
1776442219.6217837,0.5609,1.0893,0.2257
1776442219.6273904,0.5609,1.0893,0.2257
1776442219.632755,0.5609,1.0893,0.2257
