Time,Filt_X,Filt_Y,Filt_Z
1776442229.478,0.4100,0.8660,0.3700
1776442234.524,0.5698,0.9333,0.4373
1776442234.824,0.6297,0.9565,0.4713
1776442234.923,0.6417,0.9572,0.4814
1776442235.062,0.6344,0.9483,0.4870
1776442235.124,0.5974,0.9336,0.4763
1776442235.223,0.5749,0.9248,0.4650
1776442235.368,0.5800,0.9521,0.4349
1776442235.423,0.6249,0.9869,0.4263
1776442235.533,0.6517,1.0167,0.4351
1776442235.624,0.6629,1.0479,0.4498
1776442235.723,0.6784,1.0752,0.4768
1776442235.824,0.6828,1.1000,0.4975
1776442235.970,0.6716,1.1188,0.5187
1776442236.024,0.6420,1.1294,0.5358
1776442236.131,0.6241,1.1486,0.5367
1776442236.223,0.6222,1.1729,0.5325
1776442236.324,0.6301,1.2048,0.5118
1776442236.437,0.6392,1.2008,0.5126
1776442236.525,0.6894,1.1888,0.5263
1776442236.625,0.7640,1.1943,0.5388
1776442236.748,0.8487,1.1970,0.5596
1776442236.824,0.8948,1.1758,0.5630
1776442236.926,0.9305,1.1403,0.5558
1776442237.068,0.9422,1.0963,0.5513
1776442237.124,0.9349,1.0474,0.5572
1776442237.227,0.9207,0.9913,0.5473
1776442237.376,0.9112,0.9176,0.5189
1776442237.425,0.9048,0.8292,0.4883
1776442237.535,0.9048,0.7411,0.4655
1776442237.623,0.8820,0.6400,0.4429
1776442237.724,0.8633,0.5359,0.4162
1776442237.842,0.8428,0.4303,0.3960
1776442237.926,0.8213,0.3285,0.3797
1776442238.025,0.8082,0.2336,0.3836
1776442238.160,0.7957,0.1388,0.3952
1776442238.225,0.7883,0.0441,0.4159
1776442238.324,0.7838,-0.0547,0.4376
1776442238.468,0.7945,-0.1381,0.4642
1776442238.523,0.7877,-0.2077,0.4981
1776442238.633,0.7659,-0.2732,0.5362
1776442238.723,0.7439,-0.3452,0.5724
1776442238.824,0.7130,-0.4122,0.5850
1776442238.950,0.6724,-0.4806,0.5834
1776442239.026,0.6527,-0.5543,0.5642
1776442239.123,0.6413,-0.6267,0.5567
1776442239.260,0.6393,-0.7027,0.5430
1776442239.323,0.6208,-0.7721,0.5345
1776442239.424,0.6013,-0.8240,0.5293
1776442240.027,0.4835,-0.8921,0.5172
1776442240.187,0.4041,-0.9345,0.5098
1776442240.224,0.3483,-0.9569,0.5097
1776442240.343,0.3514,-0.9763,0.5275
1776442240.425,0.3723,-0.9940,0.5559
1776442240.525,0.3949,-1.0020,0.6041
1776442240.659,0.4096,-0.9998,0.6552
1776442240.725,0.4192,-1.0095,0.6723
1776442240.826,0.4213,-1.0176,0.6644
1776442240.961,0.4187,-1.0205,0.6502
1776442241.024,0.3999,-1.0070,0.6278
1776442241.125,0.3847,-0.9661,0.6007
1776442241.266,0.3716,-0.9133,0.5796
1776442241.323,0.3687,-0.8447,0.5535
1776442241.434,0.3675,-0.7670,0.5377
1776442241.830,0.3451,-0.5508,0.5061
1776442242.128,0.3188,-0.2738,0.4783
1776442242.428,0.2235,0.0390,0.4484
1776442242.623,0.1090,0.2481,0.4840
1776442242.752,0.0409,0.3892,0.5326
1776442242.825,-0.0611,0.5019,0.5354
1776442242.925,-0.1433,0.6106,0.5150
1776442243.063,-0.2266,0.7124,0.4805
1776442243.124,-0.2705,0.8053,0.4643
1776442243.231,-0.3126,0.8841,0.4503
1776442243.324,-0.3360,0.9453,0.4332
1776442243.423,-0.3569,0.9871,0.4188
1776442243.558,-0.3764,1.0263,0.4193
1776442243.624,-0.3907,1.0595,0.4245
1776442243.725,-0.3975,1.0759,0.4323
1776442243.886,-0.3777,1.0780,0.4551
1776442243.926,-0.3686,1.0761,0.4735
1776442244.048,-0.4105,1.0810,0.4715
1776442244.125,-0.4523,1.0724,0.4614
1776442244.223,-0.4851,1.0559,0.4464
1776442244.353,-0.5124,1.0348,0.4331
1776442244.424,-0.5319,1.0024,0.4163
1776442244.524,-0.5867,0.9679,0.3975
1776442244.665,-0.6895,0.9323,0.3775
1776442244.726,-0.7944,0.8875,0.3702
1776442244.825,-0.9536,0.8329,0.3749
1776442244.970,-1.1008,0.7682,0.3826
1776442245.023,-1.2138,0.7022,0.3964
1776442245.129,-1.2924,0.6223,0.4050
1776442245.223,-1.3412,0.5432,0.4103
1776442245.326,-1.3675,0.4604,0.4091
1776442245.441,-1.3627,0.3758,0.4086
1776442245.524,-1.3480,0.2902,0.4083
1776442245.626,-1.3277,0.1999,0.4171
1776442245.755,-1.3131,0.1114,0.4358
1776442245.826,-1.2890,0.0287,0.4471
1776442245.926,-1.2593,-0.0592,0.4627
1776442246.068,-1.2265,-0.1546,0.4587
1776442246.123,-1.2010,-0.2497,0.4562
