Time,POSX,POSY,POSZ
1776442222.42338,0.42,0.886,0.37
1776442222.5277963,0.4,0.876,0.37
1776442222.6641111,0.4,0.886,0.39
1776442222.7247896,0.4,0.876,0.39
1776442222.824485,0.4,0.886,0.38
1776442222.9427886,0.42,0.886,0.38
1776442223.0248506,0.42,0.886,0.39
1776442223.1240046,0.4,0.876,0.38
1776442223.2295597,0.39,0.876,0.36
1776442223.323774,0.37,0.866,0.36
1776442223.424486,0.39,0.866,0.36
1776442223.5250115,0.38,0.876,0.37
1776442223.656991,0.39,0.876,0.36
1776442223.7238183,0.41,0.876,0.36
1776442223.825752,0.43,0.876,0.36
1776442223.9597182,0.44,0.876,0.36
1776442224.0231671,0.44,0.876,0.37
1776442224.1231067,0.42,0.876,0.36
1776442224.2633078,0.41,0.876,0.37
1776442224.3232753,0.41,0.876,0.37
1776442224.4232147,0.44,0.886,0.37
1776442224.548967,0.43,0.886,0.37
1776442224.6228569,0.42,0.896,0.36
1776442224.7226126,0.42,0.896,0.36
1776442224.8485658,0.43,0.886,0.37
1776442224.9239712,0.43,0.876,0.36
1776442225.0240037,0.42,0.876,0.35000000000000003
1776442225.1651113,0.42,0.876,0.36
1776442225.223501,0.43,0.876,0.37
1776442225.3239207,0.44,0.876,0.38
1776442225.463491,0.45,0.896,0.37
1776442225.5238,0.44,0.886,0.35000000000000003
1776442225.6245542,0.43,0.896,0.36
1776442225.7642894,0.43,0.886,0.37
1776442225.8227544,0.41,0.886,0.37
1776442225.9234385,0.43,0.886,0.38
1776442226.069736,0.47,0.906,0.37
1776442226.1257527,0.45,0.906,0.37
1776442226.2418885,0.45,0.896,0.37
1776442226.3274524,0.46,0.886,0.37
1776442226.426747,0.47,0.906,0.35000000000000003
1776442227.186537,0.44,0.906,0.34
1776442227.1975567,0.41,0.906,0.34
1776442227.2129705,0.39,0.906,0.35000000000000003
1776442227.2239206,0.42,0.886,0.36
1776442227.235113,0.43,0.896,0.35000000000000003
1776442227.246269,0.41,0.886,0.35000000000000003
1776442227.2564843,0.42,0.886,0.34
1776442227.2652142,0.42,0.886,0.34
1776442227.359434,0.43,0.876,0.34
1776442227.4240994,0.46,0.876,0.35000000000000003
1776442227.5540478,0.45,0.876,0.36
1776442227.6251714,0.43,0.886,0.36
1776442227.7463567,0.44,0.886,0.36
1776442227.8252864,0.45,0.896,0.36
1776442227.9412005,0.49,0.896,0.36
1776442228.0252266,0.46,0.886,0.36
1776442228.1391203,0.45,0.886,0.34
1776442228.2269158,0.45,0.886,0.36
1776442228.3324022,0.45,0.886,0.35000000000000003
1776442228.4251244,0.43,0.886,0.36
1776442228.5243564,0.46,0.876,0.35000000000000003
1776442228.6710665,0.47,0.876,0.36
1776442228.7242994,0.46,0.876,0.37
1776442228.8450937,0.44,0.866,0.36
1776442228.9242604,0.43,0.856,0.35000000000000003
1776442229.0239217,0.43,0.876,0.35000000000000003
1776442229.1619558,0.43,0.886,0.36
1776442229.2235758,0.43,0.876,0.36
1776442229.3252714,0.42,0.876,0.38
1776442229.4775612,0.41,0.866,0.37
1776442229.5249267,0.39,0.876,0.38
1776442229.6600978,0.4,0.886,0.36
1776442229.723619,0.39,0.876,0.37
1776442229.8252006,0.41,0.876,0.36
1776442229.9728966,0.39,0.876,0.35000000000000003
1776442230.0225687,0.44,0.876,0.36
1776442230.128124,0.4,0.876,0.38
1776442230.2230458,0.4,0.876,0.36
1776442230.3231971,0.4,0.876,0.37
1776442230.4256809,0.4,0.866,0.37
1776442230.530715,0.4,0.856,0.36
1776442230.6244092,0.42,0.876,0.36
1776442230.7518964,0.43,0.876,0.37
1776442230.8243554,0.41,0.876,0.39
1776442230.9237099,0.41,0.876,0.39
1776442231.0672529,0.43,0.876,0.38
1776442231.124764,0.45,0.876,0.4
1776442231.2411768,0.48,0.866,0.39
1776442231.3236938,0.46,0.866,0.39
1776442231.423525,0.45,0.866,0.38
1776442231.5546267,0.44,0.866,0.39
1776442231.6231456,0.42,0.876,0.37
1776442231.7239425,0.43,0.886,0.38
1776442231.8727467,0.4,0.886,0.38
1776442231.9241319,0.41,0.886,0.39
1776442232.047829,0.39,0.886,0.38
1776442232.1242697,0.4,0.886,0.38
1776442232.2253923,0.43,0.886,0.38
1776442232.3781211,0.42,0.886,0.38
1776442232.4237359,0.44,0.886,0.38
1776442232.547103,0.42,0.886,0.38
1776442232.6244934,0.43,0.876,0.38
1776442232.7244937,0.42,0.886,0.38
1776442232.8855,0.4,0.886,0.38
1776442232.923489,0.39,0.886,0.36
1776442233.0493598,0.37,0.886,0.35000000000000003
1776442233.1257665,0.41,0.876,0.37
1776442233.2241964,0.41,0.876,0.37
1776442233.3719869,0.39,0.886,0.36
1776442233.4243581,0.41,0.886,0.35000000000000003
1776442233.5444717,0.41,0.896,0.35000000000000003
1776442233.624859,0.44,0.896,0.37
1776442233.72495,0.43,0.886,0.37
1776442233.8413773,0.43,0.886,0.37
1776442233.923761,0.42,0.876,0.38
1776442234.0245714,0.42,0.886,0.37
1776442234.1322978,0.44,0.886,0.36
1776442234.2225413,0.43,0.876,0.37
1776442234.3254168,0.45,0.876,0.37
1776442234.4429095,0.56,0.926,0.43
1776442234.5237365,0.6,0.946,0.45
1776442234.6249702,0.63,0.956,0.43
1776442234.7481291,0.6,0.936,0.44
1776442234.8236105,0.68,0.976,0.5
1776442234.9230204,0.65,0.956,0.49
1776442235.0621943,0.62,0.936,0.49
1776442235.1238198,0.55,0.916,0.46
1776442235.2234163,0.55,0.916,0.45
1776442235.368086,0.59,0.986,0.4
1776442235.423452,0.68,1.026,0.42
1776442235.5329754,0.68,1.046,0.45
1776442235.6236184,0.67,1.076,0.47000000000000003
1776442235.723396,0.69,1.096,0.51
1776442235.8235896,0.68,1.116,0.52
1776442235.9700675,0.65,1.1260000000000001,0.54
1776442236.023777,0.6,1.1260000000000001,0.55
1776442236.1314595,0.6,1.156,0.53
1776442236.223246,0.62,1.186,0.52
1776442236.3236208,0.64,1.226,0.48
1776442236.4370408,0.65,1.176,0.51
1776442236.5254014,0.75,1.156,0.54
1776442236.6249692,0.85,1.186,0.55
1776442236.7477303,0.94,1.186,0.58
1776442236.8239787,0.93,1.136,0.56
1776442236.9255133,0.95,1.086,0.54
1776442237.0679452,0.93,1.036,0.54
1776442237.1239424,0.9,0.986,0.56
1776442237.2267323,0.88,0.926,0.53
1776442237.3757493,0.88,0.836,0.48
1776442237.4249563,0.88,0.736,0.45
1776442237.5354722,0.89,0.656,0.44
1776442237.6233795,0.84,0.546,0.42
1776442237.723574,0.83,0.446,0.39
1776442237.84241,0.81,0.34600000000000003,0.38
1776442237.926054,0.79,0.256,0.37
1776442238.0246713,0.79,0.17600000000000002,0.4
1776442238.1596045,0.78,0.08600000000000001,0.42
1776442238.2252822,0.78,-0.004,0.45
1776442238.3241441,0.78,-0.104,0.47000000000000003
1776442238.4679844,0.81,-0.164,0.5
1776442238.523313,0.78,-0.214,0.54
1776442238.6328912,0.74,-0.274,0.58
1776442238.7233305,0.72,-0.354,0.61
1776442238.8239253,0.68,-0.414,0.59
1776442238.9498992,0.63,-0.484,0.5700000000000001
1776442239.0258126,0.64,-0.564,0.53
