Time,POSX,POSY,POSZ
1773948356.1736267,-1.4601,0.8166,0.0659
1773948356.1792777,-1.46,0.8165,0.0659
1773948356.184054,-1.46,0.8165,0.0659
1773948356.1901922,-1.46,0.8165,0.0659
1773948356.195739,-1.4601,0.8165,0.066
1773948356.2011025,-1.46,0.8165,0.0659
1773948356.2063434,-1.46,0.8165,0.0659
1773948356.2123282,-1.4601,0.8166,0.066
1773948356.2183387,-1.4602,0.8165,0.066
1773948356.223527,-1.46,0.8165,0.0659
1773948356.2288404,-1.4602,0.8165,0.066
1773948356.2348895,-1.46,0.8165,0.0659
1773948356.24453,-1.4601,0.8166,0.0659
1773948356.2479646,-1.4602,0.8165,0.066
1773948356.2708898,-1.46,0.8165,0.0659
1773948356.2871027,-1.4602,0.8165,0.066
1773948356.287852,-1.4601,0.8165,0.066
1773948356.2890525,-1.46,0.8165,0.0659
1773948356.2894754,-1.46,0.8165,0.0659
1773948356.289874,-1.46,0.8165,0.0659
1773948356.3245528,-1.46,0.8165,0.0659
1773948356.3250146,-1.46,0.8165,0.0659
1773948356.3256693,-1.4601,0.8165,0.066
1773948356.3262057,-1.4603,0.8166,0.0654
1773948356.3266048,-1.46,0.8165,0.0659
1773948356.3269851,-1.46,0.8165,0.0659
1773948356.3273566,-1.46,0.8165,0.0659
1773948356.3277314,-1.4601,0.8166,0.0659
1773948356.3340356,-1.46,0.8165,0.0659
1773948356.3345897,-1.46,0.8165,0.0659
1773948356.3455486,-1.46,0.8165,0.0659
1773948356.3498983,-1.4603,0.8165,0.0654
1773948356.3614268,-1.46,0.8165,0.0659
1773948356.361908,-1.4602,0.8165,0.066
1773948356.3634245,-1.4603,0.8165,0.0653
1773948356.3688357,-1.4601,0.8165,0.0659
1773948356.3735113,-1.46,0.8165,0.0659
1773948356.3787985,-1.4602,0.8165,0.066
1773948356.385309,-1.4602,0.8166,0.066
1773948356.3977654,-1.4601,0.8166,0.0659
1773948356.4183145,-1.46,0.8165,0.0659
1773948356.428627,-1.4601,0.8165,0.066
1773948356.435947,-1.46,0.8165,0.0659
1773948356.4364042,-1.4601,0.8166,0.0659
1773948356.4372106,-1.46,0.8165,0.0659
1773948356.4380472,-1.4602,0.8165,0.066
1773948356.4384634,-1.46,0.8165,0.0659
1773948356.4388714,-1.46,0.8165,0.0659
1773948356.45349,-1.4601,0.8166,0.066
1773948356.454018,-1.46,0.8165,0.0659
1773948356.4544883,-1.46,0.8165,0.0659
1773948356.4639447,-1.46,0.8165,0.0659
1773948356.4652336,-1.46,0.8165,0.0659
1773948356.477488,-1.4601,0.8166,0.066
1773948356.4782617,-1.4602,0.8166,0.066
1773948356.4792583,-1.46,0.8165,0.0659
1773948356.4843512,-1.46,0.8165,0.0659
1773948356.4897587,-1.4601,0.8166,0.0659
1773948356.4954705,-1.4602,0.8166,0.066
1773948356.5017822,-1.46,0.8165,0.0659
1773948356.5189466,-1.4601,0.8166,0.066
1773948356.5194168,-1.46,0.8165,0.0659
1773948356.5198097,-1.46,0.8165,0.0659
1773948356.5240872,-1.4601,0.8165,0.066
1773948356.528629,-1.4602,0.8166,0.066
1773948356.534522,-1.4601,0.8166,0.066
1773948356.540079,-1.46,0.8165,0.0659
1773948356.5500557,-1.46,0.8165,0.0659
1773948356.5547135,-1.46,0.8165,0.0659
1773948356.5580006,-1.46,0.8165,0.0659
1773948356.5630493,-1.46,0.8165,0.0659
1773948356.5680733,-1.46,0.8165,0.0659
1773948356.5736504,-1.46,0.8165,0.0659
1773948356.5788243,-1.4602,0.8166,0.066
1773948356.5860662,-1.46,0.8165,0.0659
1773948356.5912614,-1.46,0.8165,0.0659
1773948356.5984251,-1.4601,0.8165,0.066
1773948356.6059947,-1.4602,0.8165,0.066
1773948356.6078048,-1.4602,0.8166,0.066
1773948356.6124954,-1.46,0.8165,0.0659
1773948356.6581924,-1.4601,0.8166,0.066
1773948356.6586208,-1.46,0.8165,0.0659
1773948356.6589935,-1.46,0.8165,0.0659
1773948356.6595032,-1.4602,0.8166,0.066
1773948356.6598587,-1.46,0.8165,0.0659
1773948356.6602817,-1.4601,0.8166,0.0659
1773948356.6607015,-1.4602,0.8165,0.066
1773948356.6610432,-1.4601,0.8165,0.066
1773948356.6669226,-1.4602,0.8165,0.066
1773948356.6683753,-1.4601,0.8166,0.066
1773948356.675596,-1.4602,0.8166,0.066
1773948356.6786833,-1.46,0.8165,0.0659
1773948356.6841414,-1.46,0.8165,0.0659
1773948356.6907806,-1.4601,0.8165,0.066
1773948356.709398,-1.4602,0.8165,0.066
1773948356.7115653,-1.4602,0.8166,0.066
1773948356.7126324,-1.4601,0.8166,0.066
1773948356.7146122,-1.46,0.8165,0.0659
1773948356.7183506,-1.4602,0.8166,0.066
1773948356.7234054,-1.4601,0.8166,0.0659
1773948356.8111327,-1.46,0.8165,0.0659
1773948356.811644,-1.4601,0.8166,0.0659
1773948356.8120372,-1.4602,0.8165,0.066
1773948356.8124022,-1.4602,0.8166,0.0659
1773948356.8127723,-1.4602,0.8166,0.066
1773948356.81314,-1.46,0.8165,0.0659
1773948356.8135095,-1.46,0.8165,0.0659
1773948356.8138754,-1.46,0.8165,0.0659
1773948356.8142388,-1.4603,0.8165,0.0653
1773948356.814596,-1.46,0.8165,0.0659
1773948356.814961,-1.4601,0.8165,0.066
1773948356.8153293,-1.4602,0.8165,0.066
1773948356.8156958,-1.46,0.8165,0.0659
1773948356.8160634,-1.46,0.8165,0.0659
1773948356.8164256,-1.4601,0.8165,0.066
1773948356.816789,-1.46,0.8165,0.0659
1773948356.8188155,-1.4602,0.8165,0.0659
1773948356.8235273,-1.4601,0.8165,0.0659
1773948356.831798,-1.46,0.8166,0.0659
1773948356.8344443,-1.4603,0.8165,0.0654
1773948356.8507328,-1.46,0.8165,0.0659
1773948356.8512576,-1.46,0.8165,0.0659
1773948356.857504,-1.46,0.8165,0.0659
1773948356.8616915,-1.46,0.8165,0.0659
1773948356.8683622,-1.46,0.8165,0.0659
1773948356.869758,-1.4602,0.8166,0.066
1773948356.873245,-1.4602,0.8166,0.066
1773948356.8794162,-1.4601,0.8166,0.0659
1773948356.8843284,-1.4603,0.8166,0.0654
1773948356.890359,-1.46,0.8165,0.0659
1773948356.8956265,-1.46,0.8165,0.0659
1773948356.9007726,-1.4603,0.8165,0.0653
1773948356.9076166,-1.4601,0.8165,0.0659
1773948356.91484,-1.46,0.8165,0.0659
1773948356.9173775,-1.4601,0.8165,0.0659
1773948356.9245641,-1.4601,0.8166,0.0659
1773948356.9299393,-1.46,0.8165,0.0659
1773948356.9355066,-1.4601,0.8166,0.0659
1773948356.974669,-1.46,0.8165,0.0659
1773948356.9757967,-1.4601,0.8166,0.066
1773948356.9874408,-1.46,0.8165,0.0659
1773948356.9879656,-1.4601,0.8166,0.0659
1773948356.9883401,-1.4601,0.8166,0.0659
1773948356.9887078,-1.46,0.8165,0.0659
1773948356.9890869,-1.4601,0.8166,0.0659
1773948356.9895005,-1.46,0.8165,0.0659
1773948356.989872,-1.46,0.8165,0.0659
1773948356.9913917,-1.4601,0.8166,0.066
1773948356.9976907,-1.46,0.8165,0.0659
1773948357.0063262,-1.46,0.8165,0.0659
1773948357.0068777,-1.4602,0.8166,0.0659
1773948357.015535,-1.4601,0.8166,0.0659
1773948357.0182028,-1.4602,0.8165,0.066
1773948357.0234857,-1.46,0.8165,0.0659
1773948357.0288172,-1.46,0.8165,0.0659
1773948357.0340564,-1.46,0.8165,0.0659
1773948357.0404868,-1.46,0.8165,0.0659
1773948357.045886,-1.46,0.8165,0.0659
1773948357.0511284,-1.46,0.8165,0.0659
1773948357.0622327,-1.4601,0.8165,0.066
1773948357.084631,-1.46,0.8165,0.0659
1773948357.0975347,-1.4602,0.8166,0.066
1773948357.098041,-1.4601,0.8166,0.0659
1773948357.0984747,-1.46,0.8165,0.0659
1773948357.098993,-1.46,0.8165,0.0659
1773948357.100121,-1.4601,0.8166,0.0659
1773948357.1005216,-1.4603,0.8165,0.0654
1773948357.1016834,-1.4602,0.8166,0.066
1773948357.1065114,-1.4602,0.8165,0.066
1773948357.1204162,-1.46,0.8165,0.0659
1773948357.1212807,-1.46,0.8165,0.0659
1773948357.1252418,-1.46,0.8165,0.0659
1773948357.1288092,-1.4601,0.8166,0.0659
1773948357.1359842,-1.46,0.8165,0.0659
1773948357.1463966,-1.4601,0.8165,0.066
1773948357.1470916,-1.4601,0.8166,0.0659
1773948357.1562724,-1.4602,0.8166,0.0659
1773948357.1646326,-1.46,0.8165,0.0659
1773948357.1688137,-1.46,0.8165,0.0659
1773948357.170503,-1.46,0.8165,0.0659
1773948357.1887667,-1.4601,0.8165,0.0659
1773948357.1892068,-1.46,0.8165,0.0659
1773948357.1895943,-1.46,0.8165,0.0659
1773948357.2145813,-1.4602,0.8166,0.0659
1773948357.2320364,-1.4603,0.8165,0.0654
1773948357.2325058,-1.4602,0.8165,0.0654
1773948357.2328973,-1.4602,0.8166,0.0659
1773948357.2346635,-1.46,0.8165,0.0659
1773948357.2354305,-1.46,0.8165,0.0659
1773948357.2361896,-1.46,0.8165,0.0659
1773948357.2369533,-1.46,0.8165,0.0659
1773948357.2377431,-1.4601,0.8165,0.0659
1773948357.2403083,-1.46,0.8165,0.0659
1773948357.247141,-1.46,0.8165,0.0659
1773948357.2599301,-1.4601,0.8166,0.0659
1773948357.2754376,-1.4601,0.8166,0.0659
1773948357.2759686,-1.46,0.8165,0.0659
1773948357.276708,-1.46,0.8165,0.0659
1773948357.27718,-1.4601,0.8166,0.0659
1773948357.280136,-1.4602,0.8166,0.0659
1773948357.329091,-1.46,0.8165,0.0659
1773948357.329894,-1.4601,0.8166,0.0659
1773948357.330745,-1.4601,0.8166,0.0659
1773948357.33152,-1.4602,0.8166,0.066
1773948357.3322518,-1.4602,0.8166,0.066
1773948357.3330772,-1.46,0.8165,0.0659
1773948357.3337266,-1.46,0.8165,0.0659
1773948357.334269,-1.4601,0.8166,0.0659
1773948357.3346596,-1.4601,0.8166,0.0659
1773948357.3368604,-1.4601,0.8166,0.0659
1773948357.3600984,-1.4602,0.8166,0.0659
1773948357.361372,-1.46,0.8165,0.0659
1773948357.3619237,-1.46,0.8165,0.0659
1773948357.5373437,-1.4602,0.8166,0.0659
1773948357.5381775,-1.4601,0.8165,0.0659
1773948357.5521028,-1.46,0.8165,0.0659
1773948357.552833,-1.4601,0.8166,0.0659
1773948357.5534322,-1.4601,0.8165,0.0659
1773948357.554022,-1.46,0.8165,0.0659
1773948357.5546124,-1.46,0.8165,0.0659
1773948357.5629568,-1.4601,0.8166,0.0659
1773948357.5636039,-1.4601,0.8166,0.0659
1773948357.5641882,-1.46,0.8165,0.0659
1773948357.5647707,-1.4602,0.8166,0.0659
1773948357.565346,-1.4603,0.8165,0.0653
1773948357.5658996,-1.46,0.8165,0.0659
1773948357.5664768,-1.4601,0.8166,0.0659
1773948357.5670707,-1.46,0.8165,0.0659
1773948357.5676959,-1.46,0.8165,0.0659
1773948357.568301,-1.4601,0.8166,0.0659
1773948357.568905,-1.46,0.8165,0.0659
1773948357.5836873,-1.46,0.8165,0.0659
1773948357.5844226,-1.4601,0.8165,0.0659
1773948357.5850174,-1.4603,0.8166,0.0653
1773948357.585573,-1.46,0.8165,0.0659
1773948357.6211903,-1.4601,0.8166,0.0659
1773948357.6227577,-1.4601,0.8165,0.066
1773948357.6234472,-1.46,0.8165,0.0659
1773948357.6240935,-1.4601,0.8166,0.0659
1773948357.6258276,-1.4602,0.8166,0.0659
1773948357.6894195,-1.46,0.8165,0.0659
