Time,POSX,POSY,POSZ
1773948360.736965,5.1,2.69,1.47
1773948360.8385258,5.11,2.67,1.42
1773948360.9368298,5.11,2.67,1.4102
1773948361.0375378,5.11,2.67,1.4252
1773948361.1370044,5.11,2.6771,1.4301
1773948361.236268,5.1038,2.6863,1.4443
1773948361.3517156,5.1006,2.6851,1.4573
1773948361.4383593,5.1143,2.679,1.4576
1773948361.5387242,5.1222,2.6801,1.4766
1773948361.6379116,5.127,2.6808,1.5053
1773948361.738979,5.1341,2.6811,1.5189
1773948361.9402702,5.1405,2.6864,1.5332
1773948362.0379913,5.1422,2.6846,1.5175
1773948362.1370916,5.1433,2.6873,1.5041
1773948362.3379288,5.1412,2.6732,1.5427
1773948362.4381504,5.1382,2.664,1.5661
1773948362.6377282,5.145,2.6649,1.5715
1773948363.1373844,5.1414,2.6817,1.65
1773948363.4377,5.1321,2.7615,1.8513
1773948363.5373828,5.1232,2.809,2.0299
1773948363.6384144,5.1073,2.8547,2.0947
1773948363.73633,nan,nan,nan
1773948363.8369122,nan,nan,nan
1773948363.938462,nan,nan,nan
1773948364.0369592,nan,nan,nan
1773948364.1370826,nan,nan,nan
1773948364.237521,nan,nan,nan
1773948364.339492,nan,nan,nan
1773948364.436842,nan,nan,nan
1773948364.5363631,nan,nan,nan
1773948364.6363194,nan,nan,nan
1773948364.7371225,nan,nan,nan
1773948366.737291,nan,nan,nan
1773948367.0371397,nan,nan,nan
1773948367.2358954,nan,nan,nan
1773948367.3445957,nan,nan,nan
1773948367.4365516,nan,nan,nan
1773948367.5369563,nan,nan,nan
1773948367.636956,nan,nan,nan
1773948367.737201,nan,nan,nan
1773948367.8358319,nan,nan,nan
1773948367.9357977,nan,nan,nan
1773948368.0368276,nan,nan,nan
1773948368.1409874,nan,nan,nan
1773948368.2384548,nan,nan,nan
1773948368.353527,nan,nan,nan
1773948368.4357588,nan,nan,nan
1773948368.537064,nan,nan,nan
1773948368.6382115,nan,nan,nan
1773948368.7371633,nan,nan,nan
1773948368.837275,nan,nan,nan
1773948368.9362893,nan,nan,nan
1773948369.1382558,nan,nan,nan
1773948369.237003,nan,nan,nan
1773948370.7373683,nan,nan,nan
1773948370.9388194,nan,nan,nan
1773948371.1379077,nan,nan,nan
1773948371.3404062,nan,nan,nan
1773948371.5371757,nan,nan,nan
1773948371.6380253,nan,nan,nan
1773948371.9380212,nan,nan,nan
1773948372.6506753,nan,nan,nan
1773948372.7375762,nan,nan,nan
1773948372.8388124,nan,nan,nan
1773948372.9370534,nan,nan,nan
1773948373.137591,nan,nan,nan
1773948373.236704,nan,nan,nan
1773948373.336502,nan,nan,nan
1773948373.5528493,nan,nan,nan
