Time,POSX,POSY,POSZ
1773948360.585674,-1.32,0.84,0.24
1773948360.5860775,-1.34,0.85,0.23
1773948360.5865672,-1.35,0.85,0.24
1773948360.5868149,-1.38,0.84,0.25
1773948360.5869846,-1.36,0.84,0.25
1773948360.5871537,-1.34,0.84,0.25
1773948360.58731,-1.35,0.84,0.24
1773948360.587481,-1.36,0.84,0.24
1773948360.5876396,-1.35,0.84,0.25
1773948360.587785,-1.36,0.85,0.25
1773948360.5879283,-1.39,0.85,0.24
1773948360.5880694,-1.36,0.85,0.24
1773948360.5882113,-1.37,0.85,0.24
1773948360.5885415,-1.34,0.85,0.24
1773948360.5887566,-1.35,0.84,0.25
1773948360.5890343,-1.34,0.84,0.24
1773948360.5891747,-1.34,0.84,0.23
1773948360.5893097,-1.32,0.84,0.22
1773948360.5894542,-1.32,0.84,0.23
1773948360.5895908,-1.35,0.84,0.23
1773948360.5897083,-1.33,0.85,0.23
1773948360.6409411,-1.34,0.85,0.25
1773948360.7366245,-1.31,0.85,0.25
1773948360.8369036,-1.29,0.84,0.25
1773948360.9365337,-1.34,0.85,0.28
1773948361.0371907,-1.37,0.84,0.29
1773948361.136689,-1.4,0.84,0.28
1773948361.2383075,-1.38,0.83,0.27
1773948361.3513253,-1.37,0.83,0.25
1773948361.4375215,-1.31,0.82,0.24
1773948361.5382428,-1.29,0.83,0.24
1773948361.637622,-1.29,0.82,0.25
1773948361.7380464,-1.27,0.81,0.21
1773948361.837123,-1.27,0.81,0.2
1773948361.939519,-1.3,0.81,0.2
1773948362.0376706,-1.28,0.82,0.2
1773948362.1363661,-1.29,0.83,0.22
1773948362.2457638,-1.3,0.82,0.25
1773948362.3376071,-1.32,0.8,0.29
1773948362.43775,-1.34,0.79,0.35
1773948362.5374038,-1.36,0.79,0.4
1773948362.637407,-1.37,0.78,0.47
1773948362.7374592,-1.34,0.77,0.53
1773948362.8373175,-1.36,0.75,0.64
1773948362.945333,-1.4,0.72,0.78
1773948363.0363827,-1.37,0.69,0.92
1773948363.137121,-1.35,0.65,1.09
1773948363.2374773,-1.49,0.64,1.42
1773948363.3364305,-1.47,0.62,1.53
1773948363.4373548,-1.46,0.56,1.6
1773948363.537064,-1.44,0.49,1.67
1773948363.6371746,-1.4,0.44,1.7
1773948363.737658,-1.36,0.4,1.82
1773948363.8365731,-1.33,0.34,1.8
1773948363.9377007,-1.3,0.29,1.88
1773948364.0366411,-1.23,0.25,2.01
1773948364.1367695,-1.2,0.18,1.94
1773948364.2372198,-1.15,0.12,1.89
1773948364.3391616,-1.11,0.06,1.87
1773948364.4365034,-1.09,-0.01,1.87
1773948364.5378268,-1.08,-0.09,1.87
1773948364.6376374,-1.05,-0.16,1.89
1773948364.7368057,-1.0,-0.21,1.97
1773948364.8381824,-0.98,-0.28,1.92
1773948364.937475,-0.91,-0.36,2.03
1773948365.0366495,-0.85,-0.44,2.01
1773948365.1368494,-0.82,-0.52,2.02
1773948365.237009,-0.81,-0.61,2.03
1773948365.3515208,-0.78,-0.71,1.96
1773948365.437788,-0.73,-0.8,1.91
1773948365.5378602,-0.66,-0.9,1.86
1773948365.6377585,-0.59,-0.98,1.87
1773948365.737472,-0.5,-1.04,1.86
1773948365.8441558,-0.4,-1.08,1.92
1773948365.9367905,-0.31,-1.12,1.95
1773948366.0383203,-0.21,-1.13,2.01
1773948366.1377344,-0.11,-1.14,2.04
1773948366.2367866,-0.0,-1.12,2.03
1773948366.3372457,0.13,-1.11,1.98
1773948366.4374318,0.27,-1.06,1.98
1773948366.536483,0.4,-1.01,1.96
1773948366.637125,0.51,-0.94,1.95
1773948366.736939,0.61,-0.85,1.97
1773948366.837291,0.7,-0.75,2.02
1773948366.9365268,0.82,-0.64,1.99
1773948367.0368612,0.91,-0.51,1.93
1773948367.1365256,1.04,-0.36,1.91
1773948367.2372963,1.11,-0.18,1.92
1773948367.3390708,1.19,-0.0,1.96
1773948367.4362147,1.23,0.18,1.96
1773948367.539147,1.25,0.38,1.96
1773948367.6365814,1.3,0.6,1.98
1773948367.7369266,1.26,0.75,1.97
1773948367.8373854,1.25,0.85,2.02
1773948367.937814,1.19,1.02,2.01
1773948368.0362911,1.06,1.13,2.0
1773948368.1404219,0.79,1.23,1.96
1773948368.2372582,0.55,1.33,1.92
1773948368.356895,0.32,1.41,2.03
1773948368.437382,0.08,1.44,2.08
1773948368.5366201,-0.15,1.4,2.0
1773948368.637714,-0.37,1.34,2.0
1773948368.7366035,-0.71,1.29,2.02
1773948368.8367937,-0.88,1.15,2.08
1773948368.9378273,-0.95,1.01,1.99
1773948369.0447593,-1.07,0.88,1.81
1773948369.1376975,-1.1,0.77,1.62
1773948369.2365248,-1.05,0.7,1.4
1773948369.3372877,-1.04,0.67,1.16
1773948369.437352,-0.99,0.66,0.95
1773948369.5412214,-0.94,0.63,0.75
1773948369.6369073,-0.91,0.62,0.65
1773948369.739574,-0.87,0.61,0.57
1773948369.8375223,-0.9,0.56,0.45
1773948369.936749,-0.93,0.55,0.41
1773948370.0372832,-0.88,0.55,0.39
1773948370.1367548,-0.89,0.56,0.34
1773948370.244554,-0.91,0.56,0.32
1773948370.3373141,-0.9,0.56,0.29
1773948370.43736,-0.87,0.61,0.21
1773948370.5369704,-0.86,0.61,0.2
1773948370.6384668,-0.85,0.63,0.21
1773948370.7367635,-0.84,0.61,0.2
1773948370.8691573,-0.87,0.58,0.18
1773948370.9377916,-0.91,0.57,0.2
1773948371.0376503,-0.93,0.57,0.18
1773948371.1373155,-0.89,0.57,0.19
1773948371.237063,-0.87,0.58,0.22
1773948371.3396573,-0.93,0.56,0.22
1773948371.4373126,-0.95,0.56,0.23
1773948371.5366602,-0.94,0.56,0.24
1773948371.637499,-0.96,0.57,0.23
1773948371.7370338,-0.97,0.57,0.23
1773948371.837409,-0.97,0.58,0.21
1773948371.9374576,-0.96,0.6,0.22
1773948372.0370898,-0.91,0.61,0.22
1773948372.1366544,-0.9,0.6,0.23
1773948372.2374244,-0.91,0.59,0.22
1773948372.3377802,-0.88,0.59,0.22
1773948372.4580534,-0.92,0.62,0.24
1773948372.5376084,-0.92,0.61,0.22
1773948372.652489,-0.89,0.62,0.23
1773948372.7372293,-0.93,0.6,0.23
1773948372.8374205,-0.94,0.61,0.23
1773948372.9367337,-0.96,0.6,0.21
1773948373.036586,-0.95,0.62,0.23
1773948373.1372871,-0.9,0.62,0.24
1773948373.2363617,-0.92,0.61,0.24
1773948373.336207,-0.9,0.61,0.24
1773948373.4375563,-0.89,0.62,0.25
1773948373.5508828,-0.91,0.61,0.24
1773948373.6365902,-0.91,0.6,0.27
1773948373.7386565,-0.95,0.59,0.27
1773948373.8374321,-0.9,0.6,0.27
1773948373.9369295,-0.88,0.6,0.3
