Time,POSX,POSY,POSZ
1773083452.5941203,1.45,-0.36,1.51
1773083452.694131,1.41,-0.34,1.55
1773083452.794098,1.3708,-0.3204,1.5794
1773083452.8941047,1.3637,-0.3085,1.6514
1773083452.9941392,1.3767,-0.3053,1.7301
1773083453.0941205,1.3827,-0.3169,1.7732
1773083453.194105,1.3692,-0.3229,1.8248
1773083453.294115,1.3468,-0.3313,1.8703
1773083453.394117,1.3107,-0.3314,1.8845
1773083453.4941213,1.2937,-0.3358,1.9128
1773083453.5941,1.2921,-0.3427,1.9368
1773083453.6940784,1.2757,-0.3351,1.9381
1773083453.7940817,1.2693,-0.3299,1.9449
1773083453.894102,1.2619,-0.3188,1.9477
1773083453.9940875,1.2575,-0.3113,1.9407
1773083454.0941143,1.255,-0.2989,1.9273
1773083454.1940806,1.2503,-0.2904,1.9097
1773083454.2940552,1.251,-0.2846,1.8963
1773083454.3940914,1.2589,-0.2772,1.8825
1773083454.4940941,1.2649,-0.2722,1.8721
1773083454.594078,1.2559,-0.262,1.8401
1773083454.694077,1.2498,-0.2549,1.8135
1773083454.7940779,1.2356,-0.2433,1.7841
1773083454.8940508,1.2393,-0.2421,1.773
1773083454.9940522,1.2557,-0.2481,1.7852
1773083455.0940769,1.2812,-0.2762,1.804
1773083455.1940484,1.2963,-0.2899,1.8175
1773083455.2943892,1.3106,-0.3031,1.8404
1773083455.3940773,1.3309,-0.3359,1.86
1773083455.494078,1.3488,-0.3562,1.8839
1773083455.594077,1.3582,-0.3639,1.9074
1773083455.694049,1.3582,-0.3626,1.9239
1773083455.7940533,1.3513,-0.3614,1.9321
1773083455.8940783,1.3394,-0.3569,1.9275
1773083455.9940536,1.3308,-0.3502,1.9237
1773083456.094051,1.3245,-0.3452,1.9206
1773083456.1940484,1.3232,-0.3415,1.9213
1773083456.2940547,1.3356,-0.3519,1.9214
1773083456.394052,1.3544,-0.3528,1.9279
1773083456.4941046,1.3745,-0.3333,1.909
1773083456.5940583,1.4155,-0.2993,1.8553
1773083456.694045,1.4746,-0.2748,1.8132
1773083456.7940574,1.5566,-0.244,1.7629
1773083456.894063,1.645,-0.2121,1.6938
1773083456.994105,1.7178,-0.1794,1.6211
1773083457.0940404,1.7989,-0.1596,1.543
1773083457.1940534,1.8991,-0.1459,1.451
1773083457.2940211,1.983,-0.1366,1.3461
1773083457.3940208,2.0714,-0.1238,1.2289
1773083457.4940252,2.1497,-0.1119,1.1329
1773083457.5934436,nan,nan,nan
1773083457.6934319,nan,nan,nan
1773083457.7934163,nan,nan,nan
1773083457.8934078,nan,nan,nan
1773083457.9934087,nan,nan,nan
1773083458.0940008,nan,nan,nan
1773083458.1940084,nan,nan,nan
1773083458.293925,nan,nan,nan
1773083458.3939247,nan,nan,nan
1773083458.493412,nan,nan,nan
1773083458.593917,nan,nan,nan
1773083458.6938987,nan,nan,nan
1773083458.7933962,nan,nan,nan
1773083458.8933837,nan,nan,nan
1773083458.993415,nan,nan,nan
1773083459.0933926,nan,nan,nan
1773083459.1933784,nan,nan,nan
1773083459.2933755,nan,nan,nan
1773083459.3933883,nan,nan,nan
1773083459.493379,nan,nan,nan
1773083459.5933862,nan,nan,nan
1773083459.6933808,nan,nan,nan
1773083459.7933822,nan,nan,nan
1773083459.89338,nan,nan,nan
1773083459.9933994,nan,nan,nan
1773083460.0933723,nan,nan,nan
1773083460.1933684,nan,nan,nan
1773083460.293678,nan,nan,nan
1773083460.3933544,nan,nan,nan
1773083460.493361,nan,nan,nan
1773083460.5933797,nan,nan,nan
1773083460.6933773,nan,nan,nan
1773083460.7933397,nan,nan,nan
1773083460.8933487,nan,nan,nan
1773083460.9933422,nan,nan,nan
1773083461.093352,nan,nan,nan
1773083461.1933568,nan,nan,nan
1773083461.293354,nan,nan,nan
1773083461.3933623,nan,nan,nan
1773083461.4933321,nan,nan,nan
1773083461.5933578,nan,nan,nan
1773083461.6933758,nan,nan,nan
1773083461.7933352,nan,nan,nan
1773083461.8933253,nan,nan,nan
1773083461.9933445,nan,nan,nan
1773083462.0935054,nan,nan,nan
1773083462.1933734,nan,nan,nan
1773083462.2933502,nan,nan,nan
1773083462.393331,nan,nan,nan
1773083462.4933355,nan,nan,nan
1773083462.593305,nan,nan,nan
1773083462.693369,nan,nan,nan
1773083462.793326,nan,nan,nan
1773083462.8933132,nan,nan,nan
1773083462.9933426,nan,nan,nan
1773083463.0933218,nan,nan,nan
1773083463.1933389,nan,nan,nan
1773083463.293301,nan,nan,nan
1773083463.393351,nan,nan,nan
1773083463.4933274,nan,nan,nan
1773083463.593315,nan,nan,nan
1773083463.6933193,nan,nan,nan
1773083463.7933185,nan,nan,nan
1773083463.8954685,nan,nan,nan
1773083463.9975276,nan,nan,nan
1773083464.0933053,nan,nan,nan
1773083464.1933033,nan,nan,nan
1773083464.2932951,nan,nan,nan
1773083464.393309,nan,nan,nan
1773083464.4933202,nan,nan,nan
1773083464.5939224,nan,nan,nan
1773083464.693386,nan,nan,nan
1773083464.7932773,nan,nan,nan
1773083464.8933074,nan,nan,nan
1773083464.99457,nan,nan,nan
1773083465.0938725,nan,nan,nan
1773083465.193283,nan,nan,nan
1773083465.293585,nan,nan,nan
1773083465.6159365,nan,nan,nan
1773083465.6188502,nan,nan,nan
1773083465.620149,nan,nan,nan
1773083465.704668,nan,nan,nan
1773083465.7932913,nan,nan,nan
1773083465.893265,nan,nan,nan
1773083465.99328,nan,nan,nan
1773083466.0932612,nan,nan,nan
1773083466.1951048,nan,nan,nan
