Time,POSX,POSY,POSZ
1773083452.5941203,1.45,-0.36,1.51
1773083452.694131,1.41,-0.34,1.55
1773083452.794098,1.37,-0.32,1.58
1773083452.8941047,1.37,-0.31,1.66
1773083452.9941392,1.39,-0.31,1.74
1773083453.0941205,1.39,-0.33,1.76
1773083453.194105,1.36,-0.33,1.82
1773083453.294115,1.33,-0.34,1.86
1773083453.394117,1.28,-0.33,1.84
1773083453.4941213,1.29,-0.34,1.89
1773083453.5941,1.31,-0.35,1.91
1773083453.6940784,1.27,-0.32,1.88
1773083453.7940817,1.28,-0.32,1.9
1773083453.894102,1.27,-0.3,1.9
1773083453.9940875,1.27,-0.3,1.88
1773083454.0941143,1.27,-0.28,1.86
1773083454.1940806,1.26,-0.28,1.84
1773083454.2940552,1.27,-0.28,1.84
1773083454.3940914,1.29,-0.27,1.83
1773083454.4940941,1.29,-0.27,1.83
1773083454.594078,1.25,-0.25,1.76
1773083454.694077,1.25,-0.25,1.75
1773083454.7940779,1.22,-0.23,1.72
1773083454.8940508,1.26,-0.25,1.75
1773083454.9940522,1.3,-0.27,1.81
1773083455.0940769,1.34,-0.34,1.84
1773083455.1940484,1.33,-0.32,1.84
1773083455.2943892,1.34,-0.33,1.88
1773083455.3940773,1.37,-0.4,1.89
1773083455.494078,1.38,-0.39,1.92
1773083455.594077,1.37,-0.37,1.94
1773083455.694049,1.35,-0.35,1.94
1773083455.7940533,1.33,-0.35,1.93
1773083455.8940783,1.31,-0.34,1.9
1773083455.9940536,1.31,-0.33,1.9
1773083456.094051,1.31,-0.33,1.9
1773083456.1940484,1.32,-0.33,1.91
1773083456.2940547,1.36,-0.37,1.91
1773083456.394052,1.39,-0.35,1.93
1773083456.4941046,1.41,-0.29,1.86
1773083456.5940583,1.49,-0.23,1.74
1773083456.694045,1.58,-0.23,1.73
1773083456.7940574,1.7,-0.19,1.67
1773083456.894063,1.79,-0.16,1.57
1773083456.994105,1.82,-0.13,1.5
1773083457.0940404,1.91,-0.14,1.42
1773083457.1940534,2.04,-0.14,1.31
1773083457.2940211,2.08,-0.14,1.19
1773083457.3940208,2.17,-0.12,1.06
1773083457.4940252,2.22,-0.11,1.02
1773083457.5934436,nan,nan,nan
1773083457.6934319,nan,nan,nan
1773083457.7934163,nan,nan,nan
1773083457.8934078,nan,nan,nan
1773083457.9934087,nan,nan,nan
1773083458.0940008,2.4,-0.06,0.91
1773083458.1940084,2.5,-0.01,0.82
1773083458.293925,2.59,0.05,0.77
1773083458.3939247,2.68,0.09,0.65
1773083458.493412,nan,nan,nan
1773083458.593917,2.7,0.17,0.69
1773083458.6938987,2.82,0.21,0.63
1773083458.7933962,nan,nan,nan
1773083458.8933837,nan,nan,nan
1773083458.993415,nan,nan,nan
1773083459.0933926,nan,nan,nan
1773083459.1933784,nan,nan,nan
1773083459.2933755,nan,nan,nan
1773083459.3933883,nan,nan,nan
1773083459.493379,nan,nan,nan
1773083459.5933862,nan,nan,nan
1773083459.6933808,nan,nan,nan
1773083459.7933822,nan,nan,nan
1773083459.89338,nan,nan,nan
1773083459.9933994,nan,nan,nan
1773083460.0933723,nan,nan,nan
1773083460.1933684,nan,nan,nan
1773083460.293678,nan,nan,nan
1773083460.3933544,nan,nan,nan
1773083460.493361,nan,nan,nan
1773083460.5933797,nan,nan,nan
1773083460.6933773,nan,nan,nan
1773083460.7933397,nan,nan,nan
1773083460.8933487,nan,nan,nan
1773083460.9933422,nan,nan,nan
1773083461.093352,nan,nan,nan
1773083461.1933568,nan,nan,nan
1773083461.293354,nan,nan,nan
1773083461.3933623,nan,nan,nan
1773083461.4933321,nan,nan,nan
1773083461.5933578,nan,nan,nan
1773083461.6933758,nan,nan,nan
1773083461.7933352,nan,nan,nan
1773083461.8933253,nan,nan,nan
1773083461.9933445,nan,nan,nan
1773083462.0935054,nan,nan,nan
1773083462.1933734,nan,nan,nan
1773083462.2933502,nan,nan,nan
1773083462.393331,nan,nan,nan
1773083462.4933355,nan,nan,nan
1773083462.593305,nan,nan,nan
1773083462.693369,nan,nan,nan
1773083462.793326,nan,nan,nan
1773083462.8933132,nan,nan,nan
1773083462.9933426,nan,nan,nan
1773083463.0933218,nan,nan,nan
1773083463.1933389,nan,nan,nan
1773083463.293301,nan,nan,nan
1773083463.393351,nan,nan,nan
1773083463.4933274,nan,nan,nan
1773083463.593315,nan,nan,nan
1773083463.6933193,nan,nan,nan
1773083463.7933185,nan,nan,nan
1773083463.8954685,nan,nan,nan
1773083463.9975276,nan,nan,nan
1773083464.0933053,nan,nan,nan
1773083464.1933033,nan,nan,nan
1773083464.2932951,nan,nan,nan
1773083464.393309,nan,nan,nan
1773083464.4933202,nan,nan,nan
1773083464.5939224,nan,nan,nan
1773083464.693386,nan,nan,nan
1773083464.7932773,nan,nan,nan
1773083464.8933074,nan,nan,nan
1773083464.99457,nan,nan,nan
1773083465.0938725,nan,nan,nan
1773083465.193283,nan,nan,nan
1773083465.293585,nan,nan,nan
1773083465.6159365,nan,nan,nan
1773083465.6188502,nan,nan,nan
1773083465.620149,nan,nan,nan
1773083465.704668,nan,nan,nan
1773083465.7932913,nan,nan,nan
1773083465.893265,nan,nan,nan
1773083465.99328,nan,nan,nan
1773083466.0932612,nan,nan,nan
1773083466.1951048,nan,nan,nan
