Time,POSX,POSY,POSZ
1773069732.1449265,-1.2,0.64,0.04
1773069732.2447078,-1.19,0.64,0.03
1773069732.3447883,-1.2096,0.64,0.03
1773069732.4452765,-1.1881,0.6483,0.03
1773069732.5446646,-1.188,0.658,0.0158
1773069732.6468327,-1.1881,0.6619,0.0224
1773069732.7461236,-1.1772,0.6635,0.0258
1773069732.8447053,-1.1664,0.664,0.0226
1773069732.9446685,-1.1557,0.6689,0.0161
1773069733.0446665,-1.1671,0.6672,0.0167
1773069733.1450586,-1.1662,0.6618,0.0213
1773069733.2447095,-1.1738,0.6582,0.0283
1773069733.3446994,-1.1751,0.6557,0.0292
1773069733.444661,-1.161,0.654,0.0297
1773069733.5446522,-1.1514,0.6564,0.0264
1773069733.644647,-1.1522,0.6545,0.0241
1773069733.7446587,-1.1494,0.6531,0.0225
1773069733.8446283,-1.1406,0.6486,0.0249
1773069733.944673,-1.1484,0.6455,0.0266
1773069734.0446348,-1.1473,0.6433,0.0243
1773069734.1446626,-1.15,0.6451,0.0228
1773069734.2446167,-1.1486,0.6431,0.025
1773069734.3446436,-1.1512,0.6417,0.0233
1773069734.4452224,-1.143,0.6407,0.0187
1773069734.5452359,-1.1406,0.64,0.0154
1773069734.6446452,-1.1423,0.6429,0.0131
1773069734.7446227,-1.1303,0.645,0.0081
1773069734.8449461,-1.1217,0.6466,0.0046
1773069734.9451025,-1.1224,0.6477,0.0054
1773069735.0446668,-1.1197,0.6485,0.0061
1773069735.1446316,-1.1279,0.6524,0.0134
1773069735.244889,-1.134,0.6519,0.0253
1773069735.344611,-1.1318,0.6481,0.0305
1773069735.4448774,-1.1402,0.6421,0.0476
1773069735.545069,-1.1497,0.6411,0.0598
1773069735.6446495,-1.1632,0.6371,0.0718
1773069735.745853,-1.1762,0.6276,0.0903
1773069735.8450043,-1.1789,0.6208,0.1034
1773069735.9445994,-1.1874,0.6259,0.1158
1773069736.0446386,-1.1933,0.6098,0.171
1773069736.1445978,-1.1842,0.585,0.2469
1773069736.2446198,-1.1775,0.5473,0.3509
1773069736.344789,-1.166,0.5071,0.488
1773069736.4446278,-1.1642,0.462,0.6619
1773069736.5446088,-1.1729,0.42,0.8486
1773069736.644597,-1.1923,0.3904,1.0506
1773069736.7446392,-1.2296,0.3731,1.2464
1773069736.8446064,-1.2762,0.3714,1.4305
1773069736.9445958,-1.3261,0.381,1.5758
1773069737.04536,-1.3716,0.4052,1.6733
1773069737.1446512,-1.4335,0.4367,1.7612
1773069737.2447429,-1.4874,0.4731,1.8204
1773069737.3445985,-1.5485,0.4997,1.855
1773069737.444612,-1.5981,0.5157,1.9119
1773069737.544767,-1.6558,0.5206,1.9587
1773069737.6449084,-1.7093,0.5175,2.008
1773069737.7447484,-1.7596,0.502,2.0194
1773069737.8445683,-1.8075,0.4809,2.0635
1773069737.944597,-1.847,0.4557,2.1183
1773069738.044627,-1.8705,0.4245,2.1375
