Time,POSX,POSY,POSZ
1772744662.9079614,-0.7573,0.0525,0.1167
1772744662.9164047,-0.7574,0.0524,0.1167
1772744662.9196255,-0.7574,0.0524,0.1167
1772744662.9246447,-0.7574,0.0524,0.1167
1772744662.9426582,-0.7575,0.0524,0.1167
1772744662.9432173,-0.7573,0.0525,0.1167
1772744662.9436152,-0.7575,0.0524,0.1167
1772744662.946806,-0.7574,0.0524,0.1167
1772744662.9523716,-0.7574,0.0524,0.1167
1772744662.9580603,-0.7574,0.0524,0.1167
1772744662.9635818,-0.7574,0.0524,0.1167
1772744662.9693491,-0.7574,0.0524,0.1167
1772744662.974844,-0.7574,0.0524,0.1167
1772744662.980397,-0.7574,0.0524,0.1167
1772744662.9899607,-0.7574,0.0524,0.1167
1772744662.9978795,-0.7574,0.0524,0.1167
1772744663.0238597,-0.7574,0.0524,0.1167
1772744663.0243902,-0.7574,0.0524,0.1167
1772744663.0248191,-0.7574,0.0524,0.1167
1772744663.025211,-0.7574,0.0524,0.1167
1772744663.0286937,-0.7574,0.0524,0.1167
1772744663.0291028,-0.7574,0.0524,0.1167
1772744663.030494,-0.7574,0.0524,0.1167
1772744663.0357199,-0.7574,0.0524,0.1167
1772744663.0426304,-0.7574,0.0524,0.1167
1772744663.046917,-0.7574,0.0524,0.1167
1772744663.0523808,-0.7575,0.0524,0.1167
1772744663.057802,-0.7574,0.0524,0.1167
1772744663.0648446,-0.7574,0.0524,0.1167
1772744663.0721025,-0.7575,0.0524,0.1167
1772744663.0757782,-0.7574,0.0524,0.1167
1772744663.080782,-0.7574,0.0524,0.1167
1772744663.0885735,-0.7575,0.0524,0.1167
1772744663.0925007,-0.7574,0.0524,0.1167
1772744663.097249,-0.7574,0.0524,0.1167
1772744663.1024537,-0.7574,0.0524,0.1167
1772744663.1084137,-0.7574,0.0524,0.1167
1772744663.115095,-0.7574,0.0524,0.1167
1772744663.1201332,-0.7575,0.0524,0.1167
1772744663.1258523,-0.7574,0.0524,0.1167
1772744663.1323254,-0.7574,0.0524,0.1167
1772744663.139681,-0.7574,0.0524,0.1167
1772744663.1421165,-0.7575,0.0524,0.1167
1772744663.1484227,-0.7575,0.0523,0.1167
1772744663.152573,-0.7574,0.0525,0.1167
1772744663.1579115,-0.7574,0.0524,0.1167
1772744663.1634357,-0.7574,0.0524,0.1167
1772744663.1693244,-0.7574,0.0524,0.1167
1772744663.1749172,-0.7574,0.0525,0.1167
1772744663.1803916,-0.7574,0.0524,0.1167
1772744663.1857648,-0.7574,0.0525,0.1167
1772744663.1966958,-0.7574,0.0524,0.1167
1772744663.199238,-0.7574,0.0525,0.1167
1772744663.203827,-0.7574,0.0523,0.1168
1772744663.211091,-0.7574,0.0524,0.1167
1772744663.2164862,-0.7574,0.0524,0.1167
1772744663.219271,-0.7574,0.0524,0.1167
1772744663.2244983,-0.7574,0.0524,0.1168
1772744663.2312212,-0.7574,0.0524,0.1167
1772744663.2360039,-0.7574,0.0524,0.1167
1772744663.2413719,-0.7574,0.0523,0.1168
1772744663.2468226,-0.7573,0.0525,0.1167
1772744663.252357,-0.7575,0.0524,0.1167
1772744663.2583604,-0.7574,0.0524,0.1167
1772744663.2635238,-0.7574,0.0524,0.1167
1772744663.26941,-0.7574,0.0524,0.1167
1772744663.2755897,-0.7574,0.0524,0.1167
1772744663.2801402,-0.7574,0.0524,0.1167
1772744663.2857997,-0.7575,0.0524,0.1167
1772744663.2934089,-0.7574,0.0524,0.1167
1772744663.3025072,-0.7575,0.0523,0.1167
1772744663.3031383,-0.7574,0.0524,0.1167
1772744663.3078105,-0.7574,0.0524,0.1167
1772744663.3136358,-0.7574,0.0524,0.1167
1772744663.3200545,-0.7575,0.0524,0.1167
1772744663.3250349,-0.7575,0.0524,0.1167
1772744663.3302817,-0.7574,0.0524,0.1167
1772744663.3361104,-0.7574,0.0523,0.1168
1772744663.3419712,-0.7574,0.0524,0.1167
1772744663.3468843,-0.7574,0.0524,0.1167
1772744663.3526149,-0.7574,0.0524,0.1167
1772744663.357857,-0.7575,0.0524,0.1167
1772744663.3635771,-0.7574,0.0523,0.1167
1772744663.3692532,-0.7574,0.0524,0.1167
1772744663.3745055,-0.7575,0.0524,0.1167
1772744663.380203,-0.7575,0.0524,0.1167
1772744663.385968,-0.7574,0.0524,0.1167
1772744663.3913517,-0.7574,0.0524,0.1167
1772744663.4075193,-0.7575,0.0524,0.1167
1772744663.4190784,-0.7574,0.0524,0.1167
1772744663.4195247,-0.7575,0.0524,0.1167
1772744663.4199147,-0.7574,0.0524,0.1167
1772744663.4202995,-0.7574,0.0524,0.1167
1772744663.4269943,-0.7574,0.0524,0.1167
1772744663.4306483,-0.7574,0.0524,0.1167
1772744663.4354932,-0.7575,0.0524,0.1167
1772744663.441322,-0.7574,0.0523,0.1168
1772744663.4468348,-0.7575,0.0524,0.1167
1772744663.4523077,-0.7573,0.0525,0.1167
1772744663.4580388,-0.7574,0.0524,0.1168
1772744663.4638565,-0.7574,0.0524,0.1167
1772744663.4689507,-0.7574,0.0524,0.1167
