Time,POSX,POSY,POSZ
1772744664.0859299,-0.78,0.19,6.07
1772744664.1859293,-0.79,0.19,6.08
1772744664.2859662,-0.7998,0.1802,6.08
1772744664.3859525,-0.8016,0.1784,6.08
1772744664.4860685,-0.8019,0.171,6.0729
1772744664.5859506,-0.7956,0.1743,6.07
1772744664.6868744,-0.7869,0.1817,6.0687
1772744664.7859542,-0.7772,0.1858,6.0681
1772744664.8859408,-0.7718,0.1975,6.0679
1772744664.9860854,-0.7774,0.1958,6.0723
1772744665.0859282,-0.7728,0.1945,6.0709
1772744665.1859417,-0.774,0.1936,6.07
1772744665.285929,-0.7788,0.193,6.0695
1772744665.386052,-0.7821,0.1925,6.0692
1772744665.4858837,-0.7881,0.1958,6.069
1772744665.5858936,-0.7887,0.198,6.0726
1772744665.6859295,-0.7855,0.1995,6.075
1772744665.7859082,-0.7904,0.2005,6.0733
1772744665.8858955,-0.8007,0.1941,6.072
1772744665.9859078,-0.8046,0.1931,6.0712
1772744666.0858984,-0.8039,0.1957,6.0672
1772744666.1859381,-0.8033,0.2009,6.0643
1772744666.2858927,-0.8028,0.2013,6.0623
1772744666.3862243,-0.7957,0.2082,6.0576
1772744666.4859157,-0.7939,0.2064,6.0542
1772744666.585889,-0.8027,0.2017,6.0519
1772744666.685942,-0.8056,0.1915,6.0503
1772744666.786592,-0.811,0.1742,6.0358
1772744666.8859477,-0.8123,0.1726,6.0333
1772744666.9859812,-0.8135,0.1711,6.0308
1772744667.0859733,-0.8148,0.1695,6.0283
1772744667.1859827,-0.8161,0.1679,6.0257
1772744667.2859647,-0.8174,0.1664,6.0232
1772744667.3859513,-0.8186,0.1648,6.0207
1772744667.485967,-0.8199,0.1632,6.0182
1772744667.5859601,-0.8212,0.1617,6.0157
1772744667.6862817,-0.8224,0.1601,6.0131
1772744667.7860475,-0.8237,0.1586,6.0106
1772744667.8862891,-0.825,0.157,6.0081
1772744667.986095,-0.8262,0.1554,6.0056
1772744668.0864654,-0.8275,0.1539,6.003
1772744668.1859593,-0.8288,0.1523,6.0005
1772744668.285964,-0.83,0.1508,5.998
1772744668.3860757,-0.8313,0.1492,5.9955
1772744668.486037,-0.8326,0.1476,5.993
1772744668.586251,-0.8338,0.1461,5.9904
1772744668.6860485,-0.8351,0.1445,5.9879
1772744668.7860327,-0.8364,0.1429,5.9854
1772744668.8862324,-0.8377,0.1414,5.9829
1772744668.9860196,-0.8389,0.1398,5.9804
1772744669.086052,-0.8402,0.1383,5.9779
1772744669.186051,-0.8415,0.1367,5.9753
1772744669.2860286,-0.8427,0.1351,5.9728
1772744669.3860059,-0.844,0.1336,5.9703
1772744669.4859853,-0.8453,0.132,5.9678
1772744669.5859606,-0.8465,0.1304,5.9652
1772744669.6859741,-0.8478,0.1289,5.9627
1772744669.7859232,-0.8491,0.1273,5.9602
1772744669.8859274,-0.8503,0.1258,5.9577
1772744669.985911,-0.8516,0.1242,5.9552
1772744670.0866723,-0.8529,0.1226,5.9526
1772744670.185956,-0.8541,0.1211,5.9501
1772744670.2859137,-0.8554,0.1195,5.9476
1772744670.3859313,-0.8567,0.118,5.9451
1772744670.4865003,-0.8579,0.1164,5.9425
1772744670.5859394,-0.8592,0.1148,5.94
1772744670.6859136,-0.8605,0.1133,5.9375
1772744670.785922,-0.8617,0.1117,5.935
1772744670.8859074,-0.863,0.1101,5.9325
1772744670.9865484,-0.8643,0.1086,5.9299
1772744671.0859041,-0.8656,0.107,5.9274
1772744671.1858988,-0.8668,0.1055,5.9249
1772744671.2859387,-0.8681,0.1039,5.9224
1772744671.3862784,-0.8694,0.1023,5.9199
1772744671.4859118,-0.8706,0.1008,5.9174
1772744671.5859716,-0.8719,0.0992,5.9148
1772744671.6857924,-0.8732,0.0976,5.9123
1772744671.7858248,-0.8744,0.0961,5.9098
1772744671.8858023,-0.8757,0.0945,5.9073
1772744671.9857848,-0.877,0.093,5.9048
1772744672.086681,-0.8782,0.0914,5.9022
1772744672.1857839,-0.8795,0.0898,5.8997
1772744672.2857926,-0.8808,0.0883,5.8972
1772744672.3857844,-0.882,0.0867,5.8947
1772744672.4858112,-0.8833,0.0851,5.8922
1772744672.5857801,-0.8846,0.0836,5.8896
1772744672.6861076,-0.8858,0.082,5.8871
1772744672.7857976,-0.8871,0.0805,5.8846
1772744672.8858051,-0.8884,0.0789,5.8821
1772744672.9857934,-0.8896,0.0773,5.8795
1772744673.0857954,-0.8909,0.0758,5.877
1772744673.185825,-0.8922,0.0742,5.8745
1772744673.285829,-0.8935,0.0727,5.872
1772744673.3857846,-0.8947,0.0711,5.8695
1772744673.4858549,-0.896,0.0695,5.8669
1772744673.5857959,-0.8973,0.068,5.8644
1772744673.6860237,-0.8985,0.0664,5.8619
1772744673.7859068,-0.8998,0.0648,5.8594
1772744673.885844,-0.9011,0.0633,5.8569
1772744673.9858544,-0.9023,0.0617,5.8543
1772744674.0858538,-0.9036,0.0602,5.8518
1772744674.1858978,-0.9049,0.0586,5.8493
1772744674.2858534,-0.9061,0.057,5.8468
1772744674.3858519,-0.9074,0.0555,5.8443
1772744674.4858642,-0.9087,0.0539,5.8417
1772744674.5858688,-0.9099,0.0523,5.8392
1772744674.6858656,-0.9112,0.0508,5.8367
1772744674.7861435,-0.9125,0.0492,5.8342
1772744674.8857472,-0.9137,0.0477,5.8317
1772744674.9857652,-0.915,0.0461,5.8291
1772744675.0857518,-0.9163,0.0445,5.8266
1772744675.1857607,-0.9176,0.043,5.8241
1772744675.2857296,-0.9188,0.0414,5.8216
1772744675.3857322,-0.9201,0.0399,5.8191
1772744675.4856527,-0.9214,0.0383,5.8165
1772744675.5859048,-0.9226,0.0367,5.814
1772744675.6856434,-0.9239,0.0352,5.8115
1772744675.7856667,-0.9252,0.0336,5.809
1772744675.8856428,-0.9264,0.032,5.8065
1772744675.9856687,-0.9277,0.0305,5.8039
1772744676.0856616,-0.929,0.0289,5.8014
1772744676.1857815,-0.9302,0.0274,5.7989
1772744676.2856395,-0.9315,0.0258,5.7964
1772744676.3856475,-0.9328,0.0242,5.7938
1772744676.4859688,-0.934,0.0227,5.7913
1772744676.5862923,-0.9353,0.0211,5.7888
1772744676.6856644,-0.9366,0.0195,5.7863
1772744676.7856483,-0.9378,0.018,5.7838
1772744676.885646,-0.9391,0.0164,5.7812
1772744676.9856334,-0.9404,0.0149,5.7787
1772744677.0856297,-0.9416,0.0133,5.7762
1772744677.1856165,-0.9429,0.0117,5.7737
1772744677.285627,-0.9442,0.0102,5.7712
1772744677.385618,-0.9455,0.0086,5.7686
1772744677.4856527,-0.9467,0.007,5.7661
1772744677.5857332,-0.948,0.0055,5.7636
1772744677.6859372,-0.9493,0.0039,5.7611
1772744677.7857025,-0.9505,0.0024,5.7586
1772744677.8857024,-0.9518,0.0008,5.756
1772744677.985703,-0.9531,-0.0008,5.7535
1772744678.085732,-0.9543,-0.0023,5.751
1772744678.1856983,-0.9556,-0.0039,5.7485
1772744678.285699,-0.9569,-0.0054,5.746
1772744678.385702,-0.9581,-0.007,5.7434
1772744678.4856844,-0.9594,-0.0086,5.7409
1772744678.5856788,-0.9607,-0.0101,5.7384
1772744678.6857057,-0.9619,-0.0117,5.7359
1772744678.7857158,-0.9632,-0.0133,5.7333
1772744678.8856788,-0.9645,-0.0148,5.7308
1772744678.9856737,-0.9657,-0.0164,5.7283
1772744679.0856862,-0.967,-0.0179,5.7258
1772744679.1857035,-0.9683,-0.0195,5.7233
1772744679.285702,-0.9696,-0.0211,5.7207
1772744679.3856695,-0.9708,-0.0226,5.7182
1772744679.4856894,-0.9721,-0.0242,5.7157
1772744679.5857077,-0.9734,-0.0258,5.7132
1772744679.6856792,-0.9746,-0.0273,5.7107
1772744679.7856855,-0.9759,-0.0289,5.7081
1772744679.8856797,-0.9772,-0.0304,5.7056
1772744679.985742,-0.9784,-0.032,5.7031
1772744680.0857284,-0.9797,-0.0336,5.7006
1772744680.1857266,-0.981,-0.0351,5.6981
1772744680.2857904,-0.9822,-0.0367,5.6955
1772744680.3857446,-0.9835,-0.0383,5.693
1772744680.4857185,-0.9848,-0.0398,5.6905
1772744680.5869658,-0.9861,-0.0414,5.6879
1772744680.6858294,-0.9873,-0.0429,5.6855
1772744680.7858255,-0.9886,-0.0445,5.6829
1772744680.8858337,-0.9898,-0.0461,5.6804
1772744680.9860544,-0.9911,-0.0476,5.6779
1772744681.0858297,-0.9924,-0.0492,5.6754
1772744681.1858118,-0.9937,-0.0507,5.6728
1772744681.2858255,-0.9949,-0.0523,5.6703
1772744681.3858197,-0.9962,-0.0539,5.6678
1772744681.4858894,-0.9975,-0.0554,5.6653
1772744681.5857098,-0.9987,-0.057,5.6628
1772744681.6866663,-1.0,-0.0586,5.6602
1772744681.785714,-1.0013,-0.0601,5.6577
1772744681.88574,-1.0025,-0.0617,5.6552
1772744681.9857194,-1.0038,-0.0632,5.6527
1772744682.0857313,-1.0051,-0.0648,5.6502
1772744682.185727,-1.0063,-0.0664,5.6476
1772744682.2857292,-1.0076,-0.0679,5.6451
1772744682.3857577,-1.0089,-0.0695,5.6426
1772744682.485708,-1.0101,-0.0711,5.6401
1772744682.5857058,-1.0114,-0.0726,5.6376
1772744682.6860282,-1.0127,-0.0742,5.635
1772744682.7857015,-1.0139,-0.0757,5.6325
1772744682.8857045,-1.0152,-0.0773,5.63
1772744682.9857066,-1.0165,-0.0789,5.6275
1772744683.0857327,-1.0178,-0.0804,5.625
1772744683.1856046,-1.019,-0.082,5.6224
1772744683.285619,-1.0203,-0.0835,5.6199
1772744683.3856027,-1.0216,-0.0851,5.6174
1772744683.4856,-1.0228,-0.0867,5.6149
1772744683.5856438,-1.0241,-0.0882,5.6124
1772744683.6855876,-1.0254,-0.0898,5.6098
1772744683.7856379,-1.0266,-0.0914,5.6073
1772744683.8856053,-1.0279,-0.0929,5.6048
1772744683.985609,-1.0292,-0.0945,5.6023
1772744684.085593,-1.0304,-0.096,5.5998
1772744684.1856353,-1.0317,-0.0976,5.5972
1772744684.2855997,-1.033,-0.0992,5.5947
1772744684.3855991,-1.0342,-0.1007,5.5922
1772744684.4855745,-1.0355,-0.1023,5.5897
1772744684.5856109,-1.0368,-0.1039,5.5871
1772744684.6856246,-1.038,-0.1054,5.5846
1772744684.785627,-1.0393,-0.107,5.5821
1772744684.885601,-1.0406,-0.1085,5.5796
1772744684.9855871,-1.0418,-0.1101,5.5771
1772744685.0856507,-1.0431,-0.1117,5.5745
1772744685.1856513,-1.0444,-0.1132,5.572
1772744685.2856493,-1.0457,-0.1148,5.5695
1772744685.385646,-1.0469,-0.1164,5.567
1772744685.4856532,-1.0482,-0.1179,5.5645
1772744685.5856466,-1.0495,-0.1195,5.5619
1772744685.6856709,-1.0507,-0.121,5.5594
1772744685.785665,-1.052,-0.1226,5.5569
1772744685.8856466,-1.0533,-0.1242,5.5544
1772744685.9855645,-1.0545,-0.1257,5.5519
1772744686.085547,-1.0558,-0.1273,5.5493
1772744686.1858118,-1.0571,-0.1289,5.5468
1772744686.285572,-1.0583,-0.1304,5.5443
1772744686.385578,-1.0596,-0.132,5.5418
1772744686.4855535,-1.0609,-0.1335,5.5393
1772744686.5855546,-1.0621,-0.1351,5.5367
1772744686.685553,-1.0634,-0.1367,5.5342
1772744686.7854724,-1.0647,-0.1382,5.5317
1772744686.885452,-1.0659,-0.1398,5.5292
1772744686.9854527,-1.0672,-0.1413,5.5267
1772744687.0854728,-1.0685,-0.1429,5.5241
1772744687.1854506,-1.0698,-0.1445,5.5216
1772744687.2854762,-1.071,-0.146,5.5191
1772744687.3854709,-1.0723,-0.1476,5.5166
1772744687.4854484,-1.0736,-0.1492,5.5141
1772744687.5854504,-1.0748,-0.1507,5.5115
1772744687.685767,-1.0761,-0.1523,5.509
1772744687.7854486,-1.0774,-0.1538,5.5065
1772744687.885448,-1.0786,-0.1554,5.504
1772744687.9854555,-1.0799,-0.157,5.5014
1772744688.0854626,-1.0812,-0.1585,5.4989
1772744688.1854515,-1.0824,-0.1601,5.4964
1772744688.2854488,-1.0837,-0.1616,5.4939
1772744688.3854473,-1.085,-0.1632,5.4914
1772744688.4854481,-1.0862,-0.1648,5.4888
1772744688.5859425,-1.0875,-0.1663,5.4863
1772744688.685717,-1.0888,-0.1679,5.4838
1772744688.7854772,-1.09,-0.1695,5.4813
1772744688.885452,-1.0913,-0.171,5.4788
1772744688.9854484,-1.0926,-0.1726,5.4762
1772744689.0854516,-1.0938,-0.1741,5.4737
1772744689.1855233,-1.0951,-0.1757,5.4712
1772744689.2854996,-1.0964,-0.1773,5.4687
1772744689.3855214,-1.0977,-0.1788,5.4662
1772744689.4855165,-1.0989,-0.1804,5.4636
1772744689.5855088,-1.1002,-0.182,5.4611
1772744689.6855488,-1.1015,-0.1835,5.4586
1772744689.7855508,-1.1027,-0.1851,5.4561
1772744689.8855357,-1.104,-0.1866,5.4536
1772744689.9855268,-1.1053,-0.1882,5.451
1772744690.0848942,nan,nan,nan
1772744690.1854746,nan,nan,nan
1772744690.2854939,nan,nan,nan
1772744690.3854835,nan,nan,nan
1772744690.4854712,nan,nan,nan
1772744690.5854716,nan,nan,nan
1772744690.6854963,nan,nan,nan
1772744690.7854786,nan,nan,nan
1772744690.8855608,nan,nan,nan
1772744690.9854724,nan,nan,nan
1772744691.0854816,nan,nan,nan
1772744691.1854725,nan,nan,nan
1772744691.2854693,nan,nan,nan
1772744691.385473,nan,nan,nan
1772744691.485468,nan,nan,nan
1772744691.585446,nan,nan,nan
1772744691.6854475,nan,nan,nan
1772744691.7854478,nan,nan,nan
1772744691.8855553,nan,nan,nan
1772744691.985547,nan,nan,nan
1772744692.0855455,nan,nan,nan
1772744692.1855493,nan,nan,nan
1772744692.2855468,nan,nan,nan
1772744692.3855457,nan,nan,nan
1772744692.4855173,nan,nan,nan
1772744692.5855339,nan,nan,nan
1772744692.685861,nan,nan,nan
1772744692.7856452,nan,nan,nan
1772744692.8856156,nan,nan,nan
1772744692.9856203,nan,nan,nan
1772744693.0856214,nan,nan,nan
1772744693.1856227,nan,nan,nan
1772744693.2856178,nan,nan,nan
1772744693.3856266,nan,nan,nan
1772744693.4857423,nan,nan,nan
1772744693.5856192,nan,nan,nan
1772744693.6855216,nan,nan,nan
1772744693.7855184,nan,nan,nan
1772744693.8854957,nan,nan,nan
1772744693.9855466,nan,nan,nan
1772744694.0855198,nan,nan,nan
1772744694.1855185,nan,nan,nan
1772744694.2854962,nan,nan,nan
1772744694.385493,nan,nan,nan
1772744694.4855404,nan,nan,nan
1772744694.585519,nan,nan,nan
