Time,POSX,POSY,POSZ
1772744664.0859299,-0.78,0.19,6.07
1772744664.1859293,-0.79,0.19,6.08
1772744664.2859662,-0.8,0.18,6.08
1772744664.3859525,-0.8,0.18,6.08
1772744664.4860685,-0.8,0.17,6.07
1772744664.5859506,-0.79,0.18,6.07
1772744664.6868744,-0.78,0.19,6.07
1772744664.7859542,-0.77,0.19,6.07
1772744664.8859408,-0.77,0.21,6.07
1772744664.9860854,-0.79,0.19,6.08
1772744665.0859282,-0.77,0.19,6.07
1772744665.1859417,-0.78,0.19,6.07
1772744665.285929,-0.79,0.19,6.07
1772744665.386052,-0.79,0.19,6.07
1772744665.4858837,-0.8,0.2,6.07
1772744665.5858936,-0.79,0.2,6.08
1772744665.6859295,-0.78,0.2,6.08
1772744665.7859082,-0.8,0.2,6.07
1772744665.8858955,-0.82,0.18,6.07
1772744665.9859078,-0.81,0.19,6.07
1772744666.0858984,-0.8,0.2,6.06
1772744666.1859381,-0.8,0.21,6.06
1772744666.2858927,-0.8,0.2,6.06
1772744666.3862243,-0.78,0.22,6.05
1772744666.4859157,-0.79,0.2,6.05
1772744666.585889,-0.82,0.19,6.05
1772744666.685942,-0.81,0.17,6.05
1772744666.786592,-0.82,0.14,6.01
1772744666.8859477,-0.83,0.05,4.26
1772744666.9859812,-0.84,-0.03,2.98
1772744667.0859733,-0.86,-0.14,2.04
1772744667.1859827,-0.87,-0.2,1.37
1772744667.2859647,-0.89,-0.24,0.89
1772744667.3859513,-0.92,-0.25,0.55
1772744667.485967,-0.97,-0.21,0.3
1772744667.5859601,-1.03,-0.18,0.14
1772744667.6862817,-1.1,-0.15,0.02
1772744667.7860475,-1.14,-0.11,-0.08
1772744667.8862891,-1.18,-0.04,-0.12
1772744667.986095,-1.26,-0.01,-0.16
1772744668.0864654,-1.35,0.02,-0.17
1772744668.1859593,-1.44,0.01,-0.18
1772744668.285964,-1.52,0.01,-0.19
1772744668.3860757,-1.57,-0.03,-0.19
1772744668.486037,-1.63,-0.08,-0.19
1772744668.586251,-1.68,-0.17,-0.21
1772744668.6860485,-1.7,-0.27,-0.22
1772744668.7860327,-1.71,-0.37,-0.22
1772744668.8862324,-1.76,-0.51,-0.2
1772744668.9860196,-1.79,-0.66,-0.18
1772744669.086052,-1.79,-0.78,-0.16
1772744669.186051,-1.8,-0.92,-0.12
1772744669.2860286,-1.77,-1.07,-0.09
1772744669.3860059,-1.74,-1.23,-0.05
1772744669.4859853,-1.71,-1.41,0.01
1772744669.5859606,-1.66,-1.57,0.07
1772744669.6859741,-1.62,-1.72,0.15
1772744669.7859232,-1.55,-1.85,0.22
1772744669.8859274,-1.47,-1.96,0.27
1772744669.985911,-1.39,-2.08,0.35
1772744670.0866723,-1.31,-2.18,0.41
1772744670.185956,-1.24,-2.27,0.49
1772744670.2859137,-1.16,-2.36,0.56
1772744670.3859313,-1.09,-2.43,0.6
1772744670.4865003,-1.02,-2.5,0.67
1772744670.5859394,-0.95,-2.54,0.71
1772744670.6859136,-0.88,-2.58,0.75
1772744670.785922,-0.8,-2.61,0.81
1772744670.8859074,-0.72,-2.63,0.84
1772744670.9865484,-0.63,-2.62,0.87
1772744671.0859041,-0.55,-2.64,0.9
1772744671.1858988,-0.46,-2.65,0.93
1772744671.2859387,-0.35,-2.66,0.94
1772744671.3862784,-0.26,-2.66,0.94
1772744671.4859118,-0.18,-2.67,0.95
1772744671.5859716,-0.07,-2.67,0.97
1772744671.6857924,0.01,-2.7,0.98
1772744671.7858248,0.11,-2.74,0.99
1772744671.8858023,0.22,-2.76,1.01
1772744671.9857848,0.34,-2.76,1.0
1772744672.086681,0.45,-2.74,0.98
1772744672.1857839,0.55,-2.7,0.96
1772744672.2857926,0.68,-2.65,0.91
1772744672.3857844,0.78,-2.63,0.88
1772744672.4858112,0.89,-2.61,0.83
1772744672.5857801,0.99,-2.59,0.81
1772744672.6861076,1.09,-2.59,0.78
1772744672.7857976,1.2,-2.58,0.75
1772744672.8858051,1.32,-2.51,0.71
1772744672.9857934,1.46,-2.45,0.66
1772744673.0857954,1.56,-2.41,0.6
1772744673.185825,1.66,-2.33,0.51
1772744673.285829,1.74,-2.28,0.41
1772744673.3857846,1.8,-2.18,0.3
1772744673.4858549,1.86,-2.04,0.19
1772744673.5857959,1.9,-1.92,0.09
1772744673.6860237,1.97,-1.76,0.0
1772744673.7859068,2.04,-1.6,-0.05
1772744673.885844,2.08,-1.46,-0.12
1772744673.9858544,2.11,-1.31,-0.18
1772744674.0858538,2.16,-1.14,-0.22
1772744674.1858978,2.2,-0.96,-0.25
1772744674.2858534,2.25,-0.77,-0.28
1772744674.3858519,2.28,-0.57,-0.31
1772744674.4858642,2.33,-0.34,-0.31
1772744674.5858688,2.36,-0.14,-0.32
1772744674.6858656,2.35,0.05,-0.34
1772744674.7861435,2.31,0.2,-0.4
1772744674.8857472,2.3,0.39,-0.4
1772744674.9857652,2.29,0.58,-0.37
1772744675.0857518,2.3,0.78,-0.31
1772744675.1857607,2.31,0.98,-0.25
1772744675.2857296,2.3,1.15,-0.2
1772744675.3857322,2.3,1.37,-0.09
1772744675.4856527,2.31,1.61,0.08
1772744675.5859048,2.25,1.79,0.17
1772744675.6856434,2.18,2.0,0.29
1772744675.7856667,2.12,2.18,0.46
1772744675.8856428,2.01,2.3,0.49
1772744675.9856687,1.92,2.44,0.58
1772744676.0856616,1.81,2.54,0.61
1772744676.1857815,1.7,2.65,0.69
1772744676.2856395,1.62,2.77,0.92
1772744676.3856475,1.54,2.82,0.99
1772744676.4859688,1.48,2.9,1.3
1772744676.5862923,1.34,2.96,1.31
1772744676.6856644,1.26,3.04,1.51
1772744676.7856483,1.12,3.06,1.48
1772744676.885646,0.96,3.07,1.38
1772744676.9856334,0.83,3.1,1.4
1772744677.0856297,0.72,3.13,1.43
1772744677.1856165,0.58,3.13,1.39
1772744677.285627,0.47,3.13,1.41
1772744677.385618,0.37,3.13,1.43
1772744677.4856527,0.26,3.14,1.42
1772744677.5857332,0.13,3.13,1.35
1772744677.6859372,0.03,3.12,1.36
1772744677.7857025,-0.03,3.16,1.54
1772744677.8857024,-0.14,3.17,1.55
1772744677.985703,-0.24,3.19,1.56
1772744678.085732,-0.35,3.19,1.53
1772744678.1856983,-0.45,3.21,1.52
1772744678.285699,-0.61,3.19,1.47
1772744678.385702,-0.74,3.18,1.42
1772744678.4856844,-0.83,3.19,1.45
1772744678.5856788,-0.92,3.18,1.43
1772744678.6857057,-1.05,3.14,1.35
1772744678.7857158,-1.19,3.07,1.24
1772744678.8856788,-1.31,3.01,1.16
1772744678.9856737,-1.43,2.93,1.06
1772744679.0856862,-1.53,2.85,0.96
1772744679.1857035,-1.66,2.73,0.84
1772744679.285702,-1.77,2.6,0.7
1772744679.3856695,-1.88,2.4,0.55
1772744679.4856894,-1.93,2.23,0.42
1772744679.5857077,-1.98,2.06,0.33
1772744679.6856792,-2.01,1.89,0.22
1772744679.7856855,-2.04,1.7,0.12
1772744679.8856797,-2.06,1.53,0.05
1772744679.985742,-2.05,1.36,-0.04
1772744680.0857284,-2.05,1.17,-0.11
1772744680.1857266,-2.06,0.99,-0.17
1772744680.2857904,-2.08,0.79,-0.21
1772744680.3857446,-2.08,0.57,-0.26
1772744680.4857185,-2.09,0.34,-0.27
1772744680.5869658,-2.07,0.14,-0.31
1772744680.6858294,-2.08,-0.07,-0.31
1772744680.7858255,-2.04,-0.27,-0.31
1772744680.8858337,-2.02,-0.46,-0.3
1772744680.9860544,-1.98,-0.67,-0.27
1772744681.0858297,-1.96,-0.85,-0.23
1772744681.1858118,-1.92,-1.01,-0.19
1772744681.2858255,-1.89,-1.21,-0.14
1772744681.3858197,-1.82,-1.38,-0.08
1772744681.4858894,-1.74,-1.55,0.01
1772744681.5857098,-1.67,-1.72,0.09
1772744681.6866663,-1.59,-1.89,0.21
1772744681.785714,-1.51,-2.05,0.31
1772744681.88574,-1.38,-2.17,0.38
1772744681.9857194,-1.27,-2.27,0.46
1772744682.0857313,-1.17,-2.35,0.52
1772744682.185727,-1.06,-2.39,0.56
1772744682.2857292,-0.96,-2.42,0.61
1772744682.3857577,-0.86,-2.46,0.66
1772744682.485708,-0.76,-2.48,0.71
1772744682.5857058,-0.66,-2.52,0.76
1772744682.6860282,-0.56,-2.54,0.8
1772744682.7857015,-0.47,-2.6,0.85
1772744682.8857045,-0.34,-2.67,0.9
1772744682.9857066,-0.24,-2.74,0.93
1772744683.0857327,-0.11,-2.8,0.95
1772744683.1856046,0.02,-2.82,0.95
1772744683.285619,0.14,-2.84,0.96
1772744683.3856027,0.26,-2.82,0.94
1772744683.4856,0.37,-2.78,0.9
1772744683.5856438,0.47,-2.75,0.88
1772744683.6855876,0.58,-2.7,0.85
1772744683.7856379,0.7,-2.68,0.81
1772744683.8856053,0.81,-2.65,0.78
1772744683.985609,0.95,-2.64,0.75
1772744684.085593,1.07,-2.6,0.71
1772744684.1856353,1.21,-2.55,0.67
1772744684.2855997,1.33,-2.5,0.63
1772744684.3855991,1.47,-2.46,0.59
1772744684.4855745,1.58,-2.37,0.52
1772744684.5856109,1.68,-2.26,0.44
1772744684.6856246,1.76,-2.18,0.34
1772744684.785627,1.82,-2.07,0.23
1772744684.885601,1.86,-1.94,0.11
1772744684.9855871,1.95,-1.81,0.01
1772744685.0856507,2.01,-1.65,-0.08
1772744685.1856513,2.09,-1.47,-0.14
1772744685.2856493,2.12,-1.29,-0.22
1772744685.385646,2.22,-1.05,-0.22
1772744685.4856532,2.27,-0.84,-0.25
1772744685.5856466,2.29,-0.65,-0.28
1772744685.6856709,2.3,-0.45,-0.32
1772744685.785665,2.31,-0.29,-0.35
1772744685.8856466,2.31,-0.12,-0.37
1772744685.9855645,2.35,0.07,-0.36
1772744686.085547,2.36,0.27,-0.35
1772744686.1858118,2.37,0.48,-0.32
1772744686.285572,2.36,0.65,-0.32
1772744686.385578,2.32,0.83,-0.35
1772744686.4855535,2.33,1.04,-0.27
1772744686.5855546,2.33,1.25,-0.18
1772744686.685553,2.3,1.43,-0.1
1772744686.7854724,2.27,1.64,0.03
1772744686.885452,2.21,1.81,0.08
1772744686.9854527,2.12,1.96,0.13
1772744687.0854728,2.1,2.17,0.36
1772744687.1854506,2.07,2.36,0.58
1772744687.2854762,2.0,2.5,0.71
1772744687.3854709,1.87,2.63,0.76
1772744687.4854484,1.77,2.74,0.83
1772744687.5854504,1.65,2.85,0.88
1772744687.685767,1.56,2.95,1.08
1772744687.7854486,1.45,3.05,1.2
1772744687.885448,1.42,3.19,1.39
1772744687.9854555,1.27,3.18,1.31
1772744688.0854626,1.19,3.21,1.49
1772744688.1854515,1.06,3.21,1.43
1772744688.2854488,0.97,3.22,1.49
1772744688.3854473,0.83,3.19,1.38
1772744688.4854481,0.74,3.19,1.4
1772744688.5859425,0.6,3.18,1.34
1772744688.685717,0.51,3.2,1.4
1772744688.7854772,0.36,3.17,1.3
1772744688.885452,0.22,3.15,1.27
1772744688.9854484,0.12,3.14,1.26
1772744689.0854516,0.05,3.18,1.4
1772744689.1855233,-0.06,3.2,1.45
1772744689.2854996,-0.14,3.21,1.46
1772744689.3855214,-0.25,3.2,1.41
1772744689.4855165,-0.37,3.19,1.4
1772744689.5855088,-0.46,3.2,1.39
1772744689.6855488,-0.54,3.23,1.47
1772744689.7855508,-0.68,3.25,1.49
1772744689.8855357,-0.75,3.32,1.7
1772744689.9855268,-0.87,3.34,1.8
1772744690.0848942,nan,nan,nan
1772744690.1854746,-1.02,3.47,1.91
1772744690.2854939,-1.13,3.41,1.81
1772744690.3854835,-1.27,3.37,1.72
1772744690.4854712,-1.44,3.29,1.62
1772744690.5854716,-1.52,3.22,1.5
1772744690.6854963,-1.62,3.14,1.37
1772744690.7854786,-1.66,3.07,1.25
1772744690.8855608,-1.76,2.95,1.09
1772744690.9854724,-1.87,2.82,0.94
1772744691.0854816,-1.96,2.66,0.75
1772744691.1854725,-2.03,2.46,0.55
1772744691.2854693,-2.1,2.32,0.46
1772744691.385473,-2.13,2.17,0.37
1772744691.485468,-2.14,1.99,0.27
1772744691.585446,-2.14,1.83,0.18
1772744691.6854475,-2.1,1.66,0.09
1772744691.7854478,-2.08,1.51,0.01
1772744691.8855553,-2.07,1.33,-0.05
1772744691.985547,-2.05,1.18,-0.1
1772744692.0855455,-2.04,1.02,-0.16
1772744692.1855493,-2.0,0.88,-0.21
1772744692.2855468,-2.01,0.72,-0.25
1772744692.3855457,-2.03,0.56,-0.27
1772744692.4855173,-2.03,0.38,-0.29
1772744692.5855339,-2.04,0.22,-0.31
1772744692.685861,-2.01,0.04,-0.31
1772744692.7856452,-2.0,-0.15,-0.31
1772744692.8856156,-1.97,-0.34,-0.3
1772744692.9856203,-1.93,-0.54,-0.3
1772744693.0856214,-1.88,-0.71,-0.28
1772744693.1856227,-1.82,-0.87,-0.25
1772744693.2856178,-1.77,-1.05,-0.21
1772744693.3856266,-1.73,-1.22,-0.16
1772744693.4857423,-1.67,-1.39,-0.1
1772744693.5856192,-1.61,-1.56,-0.01
1772744693.6855216,-1.54,-1.73,0.1
1772744693.7855184,-1.46,-1.89,0.19
1772744693.8854957,-1.39,-2.04,0.28
1772744693.9855466,-1.29,-2.14,0.36
1772744694.0855198,-1.2,-2.24,0.42
1772744694.1855185,-1.11,-2.31,0.47
1772744694.2854962,-1.03,-2.35,0.53
1772744694.385493,-0.93,-2.38,0.56
1772744694.4855404,-0.85,-2.39,0.59
1772744694.585519,-0.77,-2.41,0.62
1772744694.6855292,-0.68,-2.44,0.66
1772744694.7855306,-0.61,-2.49,0.71
1772744694.8855507,-0.52,-2.51,0.74
1772744694.9855223,-0.43,-2.52,0.75
1772744695.0855124,-0.31,-2.57,0.79
1772744695.1854708,-0.2,-2.6,0.81
1772744695.2855172,-0.06,-2.67,0.85
1772744695.3857577,0.04,-2.69,0.84
1772744695.4854116,0.15,-2.8,0.9
1772744695.5854387,0.26,-2.86,0.92
1772744695.685481,0.36,-2.88,0.93
1772744695.7853966,0.47,-2.8,0.89
1772744695.8854425,0.58,-2.77,0.87
1772744695.9853947,0.68,-2.76,0.84
1772744696.0853941,0.8,-2.73,0.81
1772744696.185395,0.92,-2.67,0.78
1772744696.2854142,1.03,-2.64,0.75
1772744696.385394,1.14,-2.58,0.7
1772744696.4853935,1.27,-2.52,0.66
1772744696.5854104,1.38,-2.46,0.61
1772744696.6853948,1.49,-2.38,0.54
1772744696.7854123,1.59,-2.3,0.48
1772744696.885395,1.67,-2.24,0.41
