Time,POSX,POSY,POSZ
1773069700.3454006,-1.13,0.65,0.02
1773069700.4452684,-1.13,0.65,0.01
1773069700.5456119,-1.1496,0.65,0.0198
1773069700.6452568,-1.1448,0.6417,0.0382
1773069700.7452765,-1.1499,0.6391,0.0438
1773069700.8452804,-1.1705,0.6444,0.0455
1773069700.9452593,-1.1803,0.6526,0.046
1773069701.0453238,-1.18,0.6622,0.0358
1773069701.1452343,-1.17,0.6629,0.0296
1773069701.2452614,-1.168,0.6632,0.0302
1773069701.3452582,-1.1624,0.6674,0.0264
1773069701.445259,-1.1626,0.67,0.0239
1773069701.5452588,-1.1704,0.6716,0.03
1773069701.6452363,-1.1756,0.6688,0.0341
1773069701.7452228,-1.179,0.6668,0.0368
1773069701.8452375,-1.1884,0.6689,0.0387
1773069701.9452326,-1.1806,0.6703,0.0364
1773069702.045296,-1.175,0.6677,0.0312
1773069702.1452332,-1.1639,0.6657,0.0275
1773069702.2452362,-1.1595,0.6609,0.0249
1773069702.3452363,-1.1597,0.6574,0.0196
1773069702.4452324,-1.1565,0.6549,0.0193
1773069702.5452452,-1.1609,0.6531,0.019
1773069702.6452372,-1.1608,0.6519,0.0223
1773069702.7452278,-1.1741,0.651,0.0213
1773069702.8452315,-1.1836,0.6504,0.024
1773069702.9452426,-1.1837,0.6499,0.0259
1773069703.0453527,-1.1803,0.6463,0.0239
1773069703.1452496,-1.1844,0.6437,0.0259
1773069703.2453022,-1.1873,0.6453,0.0239
1773069703.345256,-1.196,0.6464,0.0259
1773069703.4451997,-1.1922,0.6439,0.0273
1773069703.5452268,-1.1793,0.6422,0.025
1773069703.6452386,-1.17,0.6476,0.02
1773069703.7452302,-1.1666,0.6515,0.0197
1773069703.845207,-1.1608,0.6444,0.0328
1773069703.9456859,-1.1533,0.636,0.0423
1773069704.045206,-1.1447,0.6299,0.049
1773069704.145272,-1.1451,0.6323,0.0505
1773069704.2452574,-1.1489,0.6307,0.0581
1773069704.3451867,-1.1517,0.6296,0.0635
1773069704.4451888,-1.1505,0.6289,0.064
1773069704.5451908,-1.1496,0.6318,0.0609
1773069704.6452076,-1.1524,0.634,0.0552
1773069704.7451813,-1.1578,0.6355,0.0543
1773069704.8451853,-1.1584,0.64,0.0536
1773069704.945201,-1.1588,0.6433,0.0498
1773069705.0451794,-1.1591,0.6456,0.0469
1773069705.1452549,-1.1494,0.6407,0.0482
1773069705.245209,-1.1524,0.6371,0.0523
1773069705.345184,-1.1545,0.6378,0.052
1773069705.4451804,-1.1594,0.6384,0.0518
1773069705.5455008,-1.163,0.6421,0.0515
1773069705.645181,-1.1622,0.6415,0.048
1773069705.7451928,-1.165,0.641,0.0455
1773069705.8451693,-1.1636,0.644,0.047
1773069705.9451976,-1.1726,0.6462,0.0447
1773069706.0451646,-1.1823,0.6477,0.0464
1773069706.1451714,-1.1993,0.6488,0.0443
1773069706.2451568,-1.2047,0.6529,0.0428
1773069706.3451805,-1.2019,0.6558,0.0384
1773069706.4451573,-1.1897,0.6578,0.0352
1773069706.5451794,-1.1842,0.6593,0.0297
1773069706.6451623,-1.1768,0.6569,0.0323
1773069706.7451553,-1.1714,0.6519,0.031
1773069706.845151,-1.1642,0.6515,0.0301
1773069706.9451704,-1.1656,0.6512,0.0295
1773069707.0452096,-1.1634,0.651,0.0291
1773069707.1451316,-1.1684,0.6508,0.0321
1773069707.2451859,-1.1854,0.6507,0.0311
1773069707.3451874,-1.191,0.6539,0.0303
1773069707.4451568,-1.2016,0.6562,0.0265
1773069707.545155,-1.2058,0.6578,0.0271
1773069707.6451633,-1.2087,0.6556,0.0276
1773069707.7451336,-1.1975,0.654,0.0247
1773069707.8451288,-1.1926,0.6562,0.0193
1773069707.9451227,-1.1956,0.6577,0.0187
1773069708.0451474,-1.1878,0.6588,0.0151
1773069708.1451283,-1.1887,0.6563,0.0192
1773069708.245156,-1.1861,0.6544,0.0222
1773069708.3451288,-1.1841,0.6563,0.021
1773069708.4451745,-1.1927,0.661,0.0203
