Time,POSX,POSY,POSZ
1773069700.3454006,-1.13,0.65,0.02
1773069700.4452684,-1.13,0.65,0.01
1773069700.5456119,-1.15,0.65,0.02
1773069700.6452568,-1.14,0.64,0.04
1773069700.7452765,-1.15,0.64,0.04
1773069700.8452804,-1.18,0.65,0.04
1773069700.9452593,-1.18,0.66,0.04
1773069701.0453238,-1.17,0.67,0.02
1773069701.1452343,-1.15,0.66,0.02
1773069701.2452614,-1.16,0.66,0.03
1773069701.3452582,-1.15,0.67,0.02
1773069701.445259,-1.16,0.67,0.02
1773069701.5452588,-1.18,0.67,0.04
1773069701.6452363,-1.18,0.66,0.04
1773069701.7452228,-1.18,0.66,0.04
1773069701.8452375,-1.2,0.67,0.04
1773069701.9452326,-1.16,0.67,0.03
1773069702.045296,-1.16,0.66,0.02
1773069702.1452332,-1.14,0.66,0.02
1773069702.2452362,-1.15,0.65,0.02
1773069702.3452363,-1.16,0.65,0.01
1773069702.4452324,-1.15,0.65,0.02
1773069702.5452452,-1.17,0.65,0.02
1773069702.6452372,-1.16,0.65,0.03
1773069702.7452278,-1.2,0.65,0.02
1773069702.8452315,-1.2,0.65,0.03
1773069702.9452426,-1.18,0.65,0.03
1773069703.0453527,-1.17,0.64,0.02
1773069703.1452496,-1.19,0.64,0.03
1773069703.2453022,-1.19,0.65,0.02
1773069703.345256,-1.21,0.65,0.03
1773069703.4451997,-1.18,0.64,0.03
1773069703.5452268,-1.15,0.64,0.02
1773069703.6452386,-1.15,0.66,0.01
1773069703.7452302,-1.16,0.66,0.02
1773069703.845207,-1.15,0.63,0.06
1773069703.9456859,-1.14,0.62,0.06
1773069704.045206,-1.13,0.62,0.06
1773069704.145272,-1.15,0.64,0.05
1773069704.2452574,-1.16,0.63,0.07
1773069704.3451867,-1.16,0.63,0.07
1773069704.4451888,-1.15,0.63,0.06
1773069704.5451908,-1.15,0.64,0.05
1773069704.6452076,-1.16,0.64,0.04
1773069704.7451813,-1.17,0.64,0.05
1773069704.8451853,-1.16,0.65,0.05
1773069704.945201,-1.16,0.65,0.04
1773069705.0451794,-1.16,0.65,0.04
1773069705.1452549,-1.13,0.63,0.05
1773069705.245209,-1.16,0.63,0.06
1773069705.345184,-1.16,0.64,0.05
1773069705.4451804,-1.17,0.64,0.05
1773069705.5455008,-1.17,0.65,0.05
1773069705.645181,-1.16,0.64,0.04
1773069705.7451928,-1.17,0.64,0.04
1773069705.8451693,-1.16,0.65,0.05
1773069705.9451976,-1.19,0.65,0.04
1773069706.0451646,-1.2,0.65,0.05
1773069706.1451714,-1.23,0.65,0.04
1773069706.2451568,-1.21,0.66,0.04
1773069706.3451805,-1.19,0.66,0.03
1773069706.4451573,-1.16,0.66,0.03
1773069706.5451794,-1.17,0.66,0.02
1773069706.6451623,-1.16,0.65,0.04
1773069706.7451553,-1.16,0.64,0.03
1773069706.845151,-1.15,0.65,0.03
1773069706.9451704,-1.17,0.65,0.03
1773069707.0452096,-1.16,0.65,0.03
1773069707.1451316,-1.18,0.65,0.04
1773069707.2451859,-1.22,0.65,0.03
1773069707.3451874,-1.2,0.66,0.03
1773069707.4451568,-1.22,0.66,0.02
1773069707.545155,-1.21,0.66,0.03
1773069707.6451633,-1.21,0.65,0.03
1773069707.7451336,-1.17,0.65,0.02
1773069707.8451288,-1.18,0.66,0.01
1773069707.9451227,-1.2,0.66,0.02
1773069708.0451474,-1.17,0.66,0.01
1773069708.1451283,-1.19,0.65,0.03
1773069708.245156,-1.18,0.65,0.03
1773069708.3451288,-1.18,0.66,0.02
1773069708.4451745,-1.21,0.67,0.02
